GO_ID,Count,GO_TERM,Aspect,go_id_pmc,go_term_pmc,Rank,Bin,predicted_go_term,pmatch
GO:0031436,12,BRCA1-BARD1 complex,cellular_component,2,518,697,8,protein stabilization,0
GO:0097550,13,transcription preinitiation complex,cellular_component,0,954,673,8,regulation of protein localization to cilium,0
GO:0042641,11,actomyosin,cellular_component,17,29817,747,9,negative regulation of protein maturation,0
GO:0005915,10,zonula adherens,cellular_component,6,2162,779,9,adherens junction,0
GO:1990229,11,iron-sulfur cluster assembly complex,cellular_component,3,117,762,9,histone H3K4 acetyltransferase activity (H3K4 specific),0
GO:0008352,10,katanin complex,cellular_component,0,61,802,9,RNA polymerase I core promoter sequence-specific DNA binding,0
GO:0030061,9,mitochondrial crista,cellular_component,0,692,817,9,proteasome core complex,0
GO:0120103,10,centriolar subdistal appendage,cellular_component,2,1,810,9,histone H3K4 acetyltransferase activity,0
GO:0030119,10,AP-type membrane coat adaptor complex,cellular_component,10,0,811,9,protein stabilization,0
GO:0033565,10,ESCRT-0 complex,cellular_component,2,539,778,9,protein stabilization,0
GO:0008541,10,"proteasome regulatory particle, lid subcomplex",cellular_component,4,0,784,9,sphingolipid activator protein activity,0
GO:0034363,11,intermediate-density lipoprotein particle,cellular_component,5,36,749,9,positive regulation of protein modification process,0
GO:0097450,8,astrocyte end-foot,cellular_component,3,51,893,10,regulation of heart looping,0
GO:0000811,9,GINS complex,cellular_component,1,1066,852,10,dynein axonemal rod,0
GO:0072357,8,PTW/PP1 phosphatase complex,cellular_component,7,0,888,10,regulation of protein localization to cilium,0
GO:0005740,9,mitochondrial envelope,cellular_component,88,585,829,10,mitochondrial inner membrane,0
GO:0098666,9,G protein-coupled serotonin receptor complex,cellular_component,0,0,831,10,positive regulation of protein localization to cilium,0
GO:0034751,8,aryl hydrocarbon receptor complex,cellular_component,1,819,895,10,positive regulation of protein modification process,0
GO:0090571,9,RNA polymerase II transcription repressor complex,cellular_component,2,0,847,10,regulation of protein localization to cilium,0
GO:0001940,9,male pronucleus,cellular_component,0,2001,823,10,hematopoietic progenitor cell differentiation,0
GO:0071141,9,SMAD protein complex,cellular_component,4,156,838,10,regulation of protein autophosphorylation,0
GO:0060201,9,clathrin-sculpted acetylcholine transport vesicle membrane,cellular_component,1,0,850,10,regulation of heart looping,0
GO:0005954,6,calcium- and calmodulin-dependent protein kinase complex,cellular_component,6,8,993,11,dynein complex,0
GO:0044354,7,macropinosome,cellular_component,1,1232,953,11,cellular response to nitrogen starvation,0
GO:0071598,7,neuronal ribonucleoprotein granule,cellular_component,1,5,936,11,positive regulation of protein localization to cilium,0
GO:1990696,7,USH2 complex,cellular_component,0,57,955,11,histone H3K4 acetyltransferase activity (H3K4 specific),0
GO:1990604,7,IRE1-TRAF2-ASK1 complex,cellular_component,0,40,954,11,histone H3K4 acetyltransferase activity (H3K4 specific),0
GO:0098890,7,extrinsic component of postsynaptic membrane,cellular_component,0,0,924,11,regulation of protein localization to cilium,0
GO:0070985,7,transcription factor TFIIK complex,cellular_component,2,0,933,11,positive regulation of protein localization to cilium,0
GO:0099617,7,matrix side of mitochondrial inner membrane,cellular_component,0,0,923,11,positive regulation of protein localization to cilium,0
GO:0034388,6,Pwp2p-containing subcomplex of 90S preribosome,cellular_component,3,0,992,11,protein stabilization,0
GO:0005622,6,intracellular anatomical structure,cellular_component,479,194,995,11,membrane,0
GO:0140552,6,TEAD-YAP complex,cellular_component,1,825,1046,12,histone H3K4 acetyltransferase activity,0
GO:0071817,6,MMXD complex,cellular_component,0,3,1011,12,negative regulation of protein maturation,0
GO:1990617,6,CHOP-ATF4 complex,cellular_component,0,0,1027,12,histone H3K4 acetyltransferase activity (H3K4 specific),0
GO:0048476,6,Holliday junction resolvase complex,cellular_component,1,17,1035,12,cellular response to nitrogen starvation,0
GO:0030526,5,granulocyte macrophage colony-stimulating factor receptor complex,cellular_component,0,23,1088,12,positive regulation of protein modification process,0
GO:0043293,6,apoptosome,cellular_component,0,10821,1008,12,protein insertion into ER membrane,0
GO:0017071,6,intracellular cyclic nucleotide activated cation channel complex,cellular_component,1,4,1034,12,RNA stem-loop binding,0
GO:0031213,5,RSF complex,cellular_component,0,122,1082,12,positive regulation of protein modification process,0
GO:0031422,6,RecQ family helicase-topoisomerase III complex,cellular_component,0,0,1029,12,mitochondrial inner membrane,0
GO:0098635,6,protein complex involved in cell-cell adhesion,cellular_component,0,0,1049,12,regulation of protein localization to cilium,0
GO:0099147,5,extrinsic component of postsynaptic density membrane,cellular_component,0,0,1125,13,regulation of heart looping,0
GO:0090733,4,tenascin complex,cellular_component,0,0,1160,13,positive regulation of protein localization to cilium,0
GO:0048788,5,cytoskeleton of presynaptic active zone,cellular_component,4,0,1113,13,negative regulation of protein maturation,0
GO:0016013,4,syntrophin complex,cellular_component,1,30,1162,13,protein stabilization,0
GO:0033165,5,interphotoreceptor matrix,cellular_component,1,1154,1142,13,protein stabilization,0
GO:0097470,5,ribbon synapse,cellular_component,2,2856,1128,13,regulation of protein localization to cilium,0
GO:0043259,5,laminin-10 complex,cellular_component,1,0,1106,13,negative regulation of protein modification process,0
GO:0034518,4,RNA cap binding complex,cellular_component,1,39,1163,13,protein stabilization,0
GO:0099512,5,supramolecular fiber,cellular_component,37,487,1094,13,regulation of protein localization to cilium,0
GO:0099738,4,cell cortex region,cellular_component,5,7,1174,13,regulation of protein localization to cilium,0
GO:0097268,4,cytoophidium,cellular_component,0,156,1258,14,regulation of protein localization to cilium,0
GO:0097444,4,spine apparatus,cellular_component,1,785,1196,14,regulation of protein localization to cilium,0
GO:0072588,4,box H/ACA RNP complex,cellular_component,2,0,1223,14,regulation of protein localization to cilium,0
GO:0035632,4,mitochondrial prohibitin complex,cellular_component,0,127,1257,14,positive regulation of protein modification process,0
GO:0098888,4,extrinsic component of presynaptic membrane,cellular_component,0,0,1211,14,regulation of protein localization to cilium,0
GO:0032116,4,SMC loading complex,cellular_component,0,2,1259,14,protein stabilization,0
GO:0097233,4,alveolar lamellar body membrane,cellular_component,1,0,1201,14,regulation of protein localization to cilium,0
GO:0016513,4,core-binding factor complex,cellular_component,0,32,1248,14,histone H3K4 demethylase activity,0
GO:0035363,4,histone locus body,cellular_component,1,355,1200,14,protein stabilization,0
GO:0005927,4,muscle tendon junction,cellular_component,1,860,1192,14,actin cytoskeleton,0
GO:0097135,3,cyclin E2-CDK2 complex,cellular_component,1,2,1326,15,regulation of protein localization to cilium,0
GO:0097129,3,cyclin D2-CDK4 complex,cellular_component,0,37,1359,15,regulation of heart looping,0
GO:0034456,3,UTP-C complex,cellular_component,0,6,1362,15,protein stabilization,0
GO:0036195,3,muscle cell projection membrane,cellular_component,0,0,1336,15,cellular response to nitrogen starvation,0
GO:0120338,3,radial spoke head 3,cellular_component,0,1,1353,15,histone H3K4 acetyltransferase activity,0
GO:0042022,3,interleukin-12 receptor complex,cellular_component,0,169,1305,15,mitochondrial translation release factor complex,0
GO:0072563,3,endothelial microparticle,cellular_component,0,990,1300,15,regulation of protein localization to cilium,0
GO:1990682,3,CSF1-CSF1R complex,cellular_component,0,4,1355,15,histone H3K4 acetyltransferase activity (H3K4 specific),0
GO:0036409,3,histone H3-K14 acetyltransferase complex,cellular_component,0,0,1339,15,phosphatidylcholine phospholipase C activity,0
GO:0031523,3,Myb complex,cellular_component,1,118,1291,15,positive regulation of protein modification process,0
GO:0005608,3,laminin-3 complex,cellular_component,3,0,1378,16,extracellular matrix,0
GO:0034360,2,chylomicron remnant,cellular_component,0,961,1427,16,positive regulation of protein modification process,0
GO:0160074,2,non-canonical inflammasome complex,cellular_component,0,2,1452,16,mitochondrial inner membrane peptidase complex,0
GO:0097128,2,cyclin D1-CDK4 complex,cellular_component,0,617,1431,16,regulation of protein localization to cilium,0
GO:0005583,2,fibrillar collagen trimer,cellular_component,42,127,1421,16,collagen type III trimer,0
GO:0070274,2,RES complex,cellular_component,0,130,1441,16,mitochondrial inner membrane peptidase complex,0
GO:0036501,2,UFD1-NPL4 complex,cellular_component,0,95,1444,16,positive regulation of protein modification process,0
GO:0035985,3,senescence-associated heterochromatin focus,cellular_component,2,1,1384,16,positive regulation of protein modification process,0
GO:1904974,2,heparanase complex,cellular_component,0,3,1449,16,negative regulation of protein maturation,0
GO:0097179,2,protease inhibitor complex,cellular_component,0,533,1432,16,regulation of protein localization to cilium,0
GO:1990724,2,galectin complex,cellular_component,1,3,1533,17,histone H3K4 acetyltransferase activity (H3K4 specific),0
GO:0043512,2,inhibin A complex,cellular_component,0,0,1513,17,positive regulation of protein modification process,0
GO:0160110,2,axonemal microtubule doublet inner sheath,cellular_component,0,0,1485,17,histone H3K4 acetyltransferase activity,0
GO:0042709,2,succinate-CoA ligase complex,cellular_component,1,7,1539,17,negative regulation of protein maturation,0
GO:1902937,2,inward rectifier potassium channel complex,cellular_component,0,0,1473,17,negative regulation of protein maturation,0
GO:0035859,2,Seh1-associated complex,cellular_component,1,7,1538,17,positive regulation of protein modification process,0
GO:1990030,2,pericellular basket,cellular_component,1,48,1541,17,histone H3K4 acetyltransferase activity,0
GO:0010370,2,perinucleolar chromocenter,cellular_component,1,1,1525,17,"DNA-templated transcription, initiation",0
GO:0150058,2,amylin receptor complex 3,cellular_component,0,0,1476,17,histone H3K4 acetyltransferase activity,0
GO:0005848,2,mRNA cleavage stimulating factor complex,cellular_component,0,1,1471,17,ribosome,0
GO:1990184,2,amino acid transport complex,cellular_component,2,2,1555,18,histone H3K4 acetyltransferase activity (H3K4 specific),0
GO:0033291,1,eukaryotic 80S initiation complex,cellular_component,0,0,1591,18,regulation of lipid metabolic process,0
GO:0061742,1,chaperone-mediated autophagy translocation complex,cellular_component,0,0,1630,18,regulation of heart looping,0
GO:0036053,1,glomerular endothelium fenestra,cellular_component,0,0,1638,18,branched-chain alpha-ketoacid dehydrogenase complex,0
GO:0031205,1,endoplasmic reticulum Sec complex,cellular_component,0,0,1597,18,positive regulation of protein modification process,0
GO:0005599,1,collagen type X trimer,cellular_component,0,0,1608,18,nucleoside 5'-monophosphate activator activity,0
GO:0071261,1,Ssh1 translocon complex,cellular_component,0,1,1599,18,endoplasmic reticulum quality control,0
GO:1990150,1,VEGF-A complex,cellular_component,0,0,1632,18,histone H3K4 acetyltransferase activity (H3K4 specific),0
GO:0120003,1,hinge region between urothelial plaques of apical plasma membrane,cellular_component,0,0,1635,18,histone H3K4 acetyltransferase activity,0
GO:0035693,1,NOS2-CD74 complex,cellular_component,0,0,1618,18,protein stabilization,0
GO:0005898,1,interleukin-13 receptor complex,cellular_component,0,27,1676,19,sarcoplasmic reticulum membrane,0
GO:0097140,1,BIM-BCL-xl complex,cellular_component,0,3,1681,19,regulation of protein localization to cilium,0
GO:0090636,1,outer dense plaque of desmosome,cellular_component,1,0,1719,19,positive regulation of protein localization to cilium,0
GO:1990231,1,STING complex,cellular_component,0,120,1659,19,histone H3K4 acetyltransferase activity (H3K4 specific),0
GO:1990435,1,upper tip-link density,cellular_component,0,135,1675,19,histone H3K4 acetyltransferase activity (H3K4 specific),0
GO:0005895,1,interleukin-5 receptor complex,cellular_component,0,1,1693,19,sarcoplasmic reticulum membrane,0
GO:0000112,1,nucleotide-excision repair factor 3 complex,cellular_component,0,2,1692,19,TFIIF-class transcription factor complex binding,0
GO:0044299,1,C-fiber,cellular_component,1,10221,1639,19,sperm head,0
GO:0005582,1,collagen type XV trimer,cellular_component,1,0,1723,19,collagen type V trimer,0
GO:0120220,1,basal body patch,cellular_component,0,10,1698,19,histone H3K4 acetyltransferase activity,0
GO:0070176,1,DRM complex,cellular_component,2,16,1743,20,mitochondrial inner membrane,0
GO:0120234,1,stereocilium coat,cellular_component,0,0,1804,20,histone H3K4 acetyltransferase activity,0
GO:0097541,1,axonemal basal plate,cellular_component,1,1,1775,20,regulation of protein localization to cilium,0
GO:0005880,1,nuclear microtubule,cellular_component,2,181,1738,20,plasma membrane,0
GO:0097462,1,Lewy neurite,cellular_component,1,697,1755,20,regulation of protein localization to cilium,0
GO:0098541,1,cytoplasmic side of trans-Golgi network transport vesicle membrane,cellular_component,0,0,1788,20,regulation of protein localization to cilium,0
GO:0002189,1,ribose phosphate diphosphokinase complex,cellular_component,0,0,1781,20,"RNA polymerase I, II, and III promoter proximal region sequence-specific DNA binding",0
GO:0008303,1,caspase complex,cellular_component,3,63,1827,20,protein complex binding,0
GO:0000417,1,HIR complex,cellular_component,3,213,1826,20,mRNA stabilizing activity,0
GO:0031592,1,centrosomal corona,cellular_component,2,14,1744,20,regulation of microvillus length,0
GO:0045600,60,positive regulation of fat cell differentiation,biological_process,,,517,1,cellular response to chemical stimulus,0
GO:0043524,168,negative regulation of neuron apoptotic process,biological_process,,,122,1,positive regulation of protein modification process,0
GO:0033209,84,tumor necrosis factor-mediated signaling pathway,biological_process,,,315,1,positive regulation of protein modification process,0
GO:0008544,83,epidermis development,biological_process,,,320,1,protein-NAD(P)+ phosphatase activity,0
GO:0006298,60,mismatch repair,biological_process,,,516,1,mitochondrial DNA replication,0
GO:0009952,93,anterior/posterior pattern specification,biological_process,,,277,1,anterior part of embryo,0
GO:0031640,293,killing of cells of another organism,biological_process,,,54,1,cellular response to stress,0
GO:0007264,97,small GTPase-mediated signal transduction,biological_process,,,260,1,cell-cell signaling,0
GO:0006886,275,intracellular protein transport,biological_process,,,57,1,intracellular protein transport,1
GO:0042981,226,regulation of apoptotic process,biological_process,,,79,1,tRNA (guanine) methyltransferase complex,0
GO:0031663,41,lipopolysaccharide-mediated signaling pathway,biological_process,,,828,2,protein stabilization,0
GO:0051384,49,response to glucocorticoid,biological_process,,,656,2,positive regulation of protein modification process,0
GO:0048870,45,cell motility,biological_process,,,734,2,locomotor behavior,0
GO:0070102,40,interleukin-6-mediated signaling pathway,biological_process,,,837,2,cellular response to interleukin-6,0
GO:0001657,38,ureteric bud development,biological_process,,,900,2,posterior commissure,0
GO:0009409,33,response to cold,biological_process,,,1077,2,response to cold,1
GO:0048839,46,inner ear development,biological_process,,,714,2,positive regulation of monoatomic ion transmembrane transport,0
GO:0031116,35,positive regulation of microtubule polymerization,biological_process,,,992,2,positive regulation of protein modification process,0
GO:2001238,50,positive regulation of extrinsic apoptotic signaling pathway,biological_process,,,642,2,negative regulation of protein maturation,0
GO:0075523,34,viral translational frameshifting,biological_process,,,1035,2,positive regulation of protein localization to cilium,0
GO:0019229,21,regulation of vasoconstriction,biological_process,,,1736,3,protein N-linked glycosylation,0
GO:0070213,22,protein auto-ADP-ribosylation,biological_process,,,1630,3,mitochondrial translation release factor complex,0
GO:0006607,27,NLS-bearing protein import into nucleus,biological_process,,,1327,3,mRNA stabilizing activity,0
GO:0016486,24,peptide hormone processing,biological_process,,,1495,3,protein depolymerization,0
GO:0000375,25,"RNA splicing, via transesterification reactions",biological_process,,,1467,3,mRNA capping,0
GO:0044546,21,NLRP3 inflammasome complex assembly,biological_process,,,1696,3,cellular response to nitrogen starvation,0
GO:0036092,26,phosphatidylinositol-3-phosphate biosynthetic process,biological_process,,,1378,3,cellular response to nitrogen starvation,0
GO:0035338,22,long-chain fatty-acyl-CoA biosynthetic process,biological_process,,,1653,3,protein stabilization,0
GO:0070327,23,thyroid hormone transport,biological_process,,,1567,3,mitochondrial translation release factor complex,0
GO:0021772,21,olfactory bulb development,biological_process,,,1731,3,positive regulation of protein modification process,0
GO:0050848,16,regulation of calcium-mediated signaling,biological_process,,,2239,4,protein insertion into ER membrane,0
GO:0015755,19,fructose transmembrane transport,biological_process,,,1901,4,monosaccharide transmembrane transporter activity,0
GO:0019370,19,leukotriene biosynthetic process,biological_process,,,1914,4,fructose 1-dehydrogenase activity,0
GO:0098712,18,L-glutamate import across plasma membrane,biological_process,,,1929,4,regulation of protein localization to cilium,0
GO:0006665,17,sphingolipid metabolic process,biological_process,,,2183,4,phospholipid biosynthetic process,0
GO:0086004,16,regulation of cardiac muscle cell contraction,biological_process,,,2231,4,mitochondrial inner membrane peptidase complex,0
GO:0010887,16,negative regulation of cholesterol storage,biological_process,,,2194,4,negative regulation of protein modification process,0
GO:0048388,16,endosomal lumen acidification,biological_process,,,2216,4,protein stabilization,0
GO:0086009,16,membrane repolarization,biological_process,,,2247,4,mitochondrial inner membrane peptidase complex,0
GO:0072520,16,seminiferous tubule development,biological_process,,,2190,4,regulation of protein localization to cilium,0
GO:0008090,13,retrograde axonal transport,biological_process,,,2707,5,cytoskeletal protein-membrane anchor activity,0
GO:0034975,13,protein folding in endoplasmic reticulum,biological_process,,,2706,5,positive regulation of monoatomic ion transmembrane transport,0
GO:0046621,12,negative regulation of organ growth,biological_process,,,2793,5,mitochondrial translation release factor complex,0
GO:0019852,14,L-ascorbic acid metabolic process,biological_process,,,2525,5,fructose biosynthetic process,0
GO:0046037,12,GMP metabolic process,biological_process,,,2903,5,positive regulation of protein modification process,0
GO:2001214,12,positive regulation of vasculogenesis,biological_process,,,2953,5,negative regulation of protein maturation,0
GO:1990108,13,protein linear deubiquitination,biological_process,,,2664,5,regulation of protein localization to cilium,0
GO:0099159,11,regulation of modification of postsynaptic structure,biological_process,,,3058,5,regulation of protein localization to cilium,0
GO:2000049,13,positive regulation of cell-cell adhesion mediated by cadherin,biological_process,,,2762,5,negative regulation of protein maturation,0
GO:0032026,13,response to magnesium ion,biological_process,,,2745,5,mitochondrial inner membrane peptidase complex,0
GO:0051451,9,myoblast migration,biological_process,,,3622,6,protein insertion into ER membrane,0
GO:1903829,11,positive regulation of protein localization,biological_process,,,3128,6,negative regulation of protein maturation,0
GO:0000301,10,"retrograde transport, vesicle recycling within Golgi",biological_process,,,3279,6,DNA recombinase complex,0
GO:0060296,10,regulation of cilium beat frequency involved in ciliary motility,biological_process,,,3296,6,regulation of heart looping,0
GO:0008535,9,respiratory chain complex IV assembly,biological_process,,,3539,6,DNA polymerase III complex,0
GO:1902270,10,(R)-carnitine transmembrane transport,biological_process,,,3352,6,negative regulation of protein maturation,0
GO:0045839,9,negative regulation of mitotic nuclear division,biological_process,,,3653,6,positive regulation of monocyte aggregation,0
GO:0061518,9,microglial cell proliferation,biological_process,,,3514,6,regulation of heart looping,0
GO:2000052,9,positive regulation of non-canonical Wnt signaling pathway,biological_process,,,3559,6,negative regulation of protein maturation,0
GO:0021516,9,dorsal spinal cord development,biological_process,,,3665,6,mitochondrial inner membrane,0
GO:0035340,9,inosine transport,biological_process,,,3742,7,positive regulation of protein modification process,0
GO:0043267,8,negative regulation of potassium ion transport,biological_process,,,3984,7,protein stabilization,0
GO:0010706,8,ganglioside biosynthetic process via lactosylceramide,biological_process,,,4084,7,positive regulation of protein modification process,0
GO:2000020,8,positive regulation of male gonad development,biological_process,,,3944,7,negative regulation of protein maturation,0
GO:2000177,9,regulation of neural precursor cell proliferation,biological_process,,,3775,7,negative regulation of protein maturation,0
GO:0071287,9,cellular response to manganese ion,biological_process,,,3716,7,regulation of protein autophosphorylation,0
GO:0071076,8,RNA 3' uridylation,biological_process,,,3893,7,regulation of protein autophosphorylation,0
GO:0061180,8,mammary gland epithelium development,biological_process,,,4072,7,regulation of heart looping,0
GO:0050428,9,3'-phosphoadenosine 5'-phosphosulfate biosynthetic process,biological_process,,,3748,7,mitochondrial ATP-gated potassium channel activity,0
GO:0070234,8,positive regulation of T cell apoptotic process,biological_process,,,3993,7,regulation of protein localization to cilium,0
GO:0006650,6,glycerophospholipid metabolic process,biological_process,,,4877,8,phospholipid scramblase activity,0
GO:0032025,6,response to cobalt ion,biological_process,,,4573,8,mitochondrial inner membrane peptidase complex,0
GO:0048755,6,branching morphogenesis of a nerve,biological_process,,,4599,8,mitochondrial inner membrane,0
GO:0051608,7,histamine transport,biological_process,,,4355,8,"proteasome core complex, alpha-subunit complex",0
GO:0141137,6,"positive regulation of gene expression, epigenetic",biological_process,,,4637,8,histone H3K4 acetyltransferase activity,0
GO:0050851,6,antigen receptor-mediated signaling pathway,biological_process,,,4595,8,mitotic spindle midzone assembly,0
GO:0071731,6,response to nitric oxide,biological_process,,,4555,8,regulation of protein localization to cilium,0
GO:0006172,7,ADP biosynthetic process,biological_process,,,4404,8,nucleoside phosphate biosynthetic process,0
GO:0000957,6,mitochondrial RNA catabolic process,biological_process,,,4775,8,mRNA exporting from nucleus,0
GO:1903691,6,"positive regulation of wound healing, spreading of epidermal cells",biological_process,,,4594,8,negative regulation of protein maturation,0
