GO_ID,Count,GO_TERM,Aspect,go_id_pmc,go_term_pmc,Rank,Bin,predicted_go_term,pmatch,processing_time
GO:0097268,4,cytoophidium,cellular_component,0,156,1258,14,positive regulation of protein kinase activity,0,0.33
GO:0097444,4,spine apparatus,cellular_component,1,785,1196,14,cellular response to nutrient levels,0,0.24
GO:0072588,4,box H/ACA RNP complex,cellular_component,2,0,1223,14,cellular response to nutrient levels,0,0.22
GO:0035632,4,mitochondrial prohibitin complex,cellular_component,0,127,1257,14,plasma membrane,0,0.26
GO:0098888,4,extrinsic component of presynaptic membrane,cellular_component,0,0,1211,14,None,0,0.22
GO:0032116,4,SMC loading complex,cellular_component,0,2,1259,14,phosphatidylserine binding,0,0.36
GO:0097233,4,alveolar lamellar body membrane,cellular_component,1,0,1201,14,positive regulation of protein kinase activity,0,0.24
GO:0016513,4,core-binding factor complex,cellular_component,0,32,1248,14,protein targeting,0,0.25
GO:0035363,4,histone locus body,cellular_component,1,355,1200,14,cellular response to nutrient levels,0,0.19
GO:0005927,4,muscle tendon junction,cellular_component,1,860,1192,14,cytoskeleton,0,0.32
GO:0097135,3,cyclin E2-CDK2 complex,cellular_component,1,2,1326,15,cellular response to nutrient levels,0,0.28
GO:0097129,3,cyclin D2-CDK4 complex,cellular_component,0,37,1359,15,positive regulation of protein kinase activity,0,0.27
GO:0034456,3,UTP-C complex,cellular_component,0,6,1362,15,protein complex,0,0.2
GO:0036195,3,muscle cell projection membrane,cellular_component,0,0,1336,15,phospholipid biosynthetic process,0,0.24
GO:0120338,3,radial spoke head 3,cellular_component,0,1,1353,15,integral component of membrane,0,0.2
GO:0042022,3,interleukin-12 receptor complex,cellular_component,0,169,1305,15,mitotic spindle organization,0,0.25
GO:0072563,3,endothelial microparticle,cellular_component,0,990,1300,15,cellular response to nutrient levels,0,0.36
GO:1990682,3,CSF1-CSF1R complex,cellular_component,0,4,1355,15,positive regulation of protein kinase activity,0,0.36
GO:0036409,3,histone H3-K14 acetyltransferase complex,cellular_component,0,0,1339,15,sulfur compound metabolic process,0,0.29
GO:0031523,3,Myb complex,cellular_component,1,118,1291,15,protein complex,0,0.24
GO:0005608,3,laminin-3 complex,cellular_component,3,0,1378,16,plasma membrane,0,0.19
GO:0034360,2,chylomicron remnant,cellular_component,0,961,1427,16,protein complex,0,0.22
GO:0160074,2,non-canonical inflammasome complex,cellular_component,0,2,1452,16,protein targeting,0,0.29
GO:0097128,2,cyclin D1-CDK4 complex,cellular_component,0,617,1431,16,cellular response to starvation,0,0.33
GO:0005583,2,fibrillar collagen trimer,cellular_component,42,127,1421,16,microtubule,0,2.62
GO:0070274,2,RES complex,cellular_component,0,130,1441,16,cellular response to nutrient levels,0,0.27
GO:0036501,2,UFD1-NPL4 complex,cellular_component,0,95,1444,16,cellular response to starvation,0,0.28
GO:0035985,3,senescence-associated heterochromatin focus,cellular_component,2,1,1384,16,phosphatidylinositol phospholipase C activity,0,0.34
GO:1904974,2,heparanase complex,cellular_component,0,3,1449,16,positive regulation of protein localization,0,0.24
GO:0097179,2,protease inhibitor complex,cellular_component,0,533,1432,16,positive regulation of protein kinase activity,0,0.23
GO:1990724,2,galectin complex,cellular_component,1,3,1533,17,positive regulation of protein kinase activity,0,0.29
GO:0043512,2,inhibin A complex,cellular_component,0,0,1513,17,cell projection organization,0,0.26
GO:0160110,2,axonemal microtubule doublet inner sheath,cellular_component,0,0,1485,17,protein targeting to mitochondrion,0,0.39
GO:0042709,2,succinate-CoA ligase complex,cellular_component,1,7,1539,17,cellular response to heat,0,0.25
GO:1902937,2,inward rectifier potassium channel complex,cellular_component,0,0,1473,17,positive regulation of protein catabolic process,0,0.2
GO:0035859,2,Seh1-associated complex,cellular_component,1,7,1538,17,protein complex,0,0.21
GO:1990030,2,pericellular basket,cellular_component,1,48,1541,17,cellular response to external stimulus,0,0.26
GO:0010370,2,perinucleolar chromocenter,cellular_component,1,1,1525,17,DNA replication,0,0.3
GO:0150058,2,amylin receptor complex 3,cellular_component,0,0,1476,17,protein targeting to mitochondrion,0,0.3
GO:0005848,2,mRNA cleavage stimulating factor complex,cellular_component,0,1,1471,17,ribosome,0,0.32
GO:1990184,2,amino acid transport complex,cellular_component,2,2,1555,18,cellular response to external stimulus,0,0.19
GO:0033291,1,eukaryotic 80S initiation complex,cellular_component,0,0,1591,18,plasma membrane,0,0.17
GO:0061742,1,chaperone-mediated autophagy translocation complex,cellular_component,0,0,1630,18,positive regulation of cell growth,0,0.4
GO:0036053,1,glomerular endothelium fenestra,cellular_component,0,0,1638,18,phosphatidylinositol phosphate biosynthetic process,0,0.34
GO:0031205,1,endoplasmic reticulum Sec complex,cellular_component,0,0,1597,18,cellular response to starvation,0,0.28
GO:0005599,1,collagen type X trimer,cellular_component,0,0,1608,18,ion channel activity,0,0.19
GO:0071261,1,Ssh1 translocon complex,cellular_component,0,1,1599,18,cellular response to nutrient levels,0,0.25
GO:1990150,1,VEGF-A complex,cellular_component,0,0,1632,18,cellular response to organic substance,0,0.32
GO:0120003,1,hinge region between urothelial plaques of apical plasma membrane,cellular_component,0,0,1635,18,cellular component,0,0.2
GO:0035693,1,NOS2-CD74 complex,cellular_component,0,0,1618,18,phosphatidylserine binding,0,0.2
GO:0005898,1,interleukin-13 receptor complex,cellular_component,0,27,1676,19,plasma membrane,0,0.28
GO:0097140,1,BIM-BCL-xl complex,cellular_component,0,3,1681,19,cellular response to nutrient levels,0,0.19
GO:0090636,1,outer dense plaque of desmosome,cellular_component,1,0,1719,19,cellular response to external stimulus,0,0.34
GO:1990231,1,STING complex,cellular_component,0,120,1659,19,positive regulation of protein kinase activity,0,0.24
GO:1990435,1,upper tip-link density,cellular_component,0,135,1675,19,positive regulation of protein kinase activity,0,0.39
GO:0005895,1,interleukin-5 receptor complex,cellular_component,0,1,1693,19,plasma membrane,0,0.19
GO:0000112,1,nucleotide-excision repair factor 3 complex,cellular_component,0,2,1692,19,RNA polymerase II transcriptional preinitiation complex assembly,0,0.34
GO:0044299,1,C-fiber,cellular_component,1,10221,1639,19,cellular response to starvation,0,0.42
GO:0005582,1,collagen type XV trimer,cellular_component,1,0,1723,19,microtubule,0,0.21
GO:0120220,1,basal body patch,cellular_component,0,10,1698,19,None,0,0.17
GO:0070176,1,DRM complex,cellular_component,2,16,1743,20,cellular response to nutrient levels,0,0.24
GO:0120234,1,stereocilium coat,cellular_component,0,0,1804,20,None,0,0.22
GO:0097541,1,axonemal basal plate,cellular_component,1,1,1775,20,cellular response to nutrient levels,0,0.2
GO:0005880,1,nuclear microtubule,cellular_component,2,181,1738,20,plasma membrane,0,0.2
GO:0097462,1,Lewy neurite,cellular_component,1,697,1755,20,cellular response to organic substance,0,0.23
GO:0098541,1,cytoplasmic side of trans-Golgi network transport vesicle membrane,cellular_component,0,0,1788,20,cellular response to nutrient levels,0,0.65
GO:0002189,1,ribose phosphate diphosphokinase complex,cellular_component,0,0,1781,20,mitotic spindle organization,0,0.27
GO:0008303,1,caspase complex,cellular_component,3,63,1827,20,cell junction organization,0,0.3
GO:0000417,1,HIR complex,cellular_component,3,213,1826,20,protein targeting to ER,0,0.26
GO:0031592,1,centrosomal corona,cellular_component,2,14,1744,20,protein complex subunit organization,0,0.18
GO:0045600,60,positive regulation of fat cell differentiation,biological_process,,,517,1,cell-cell recognition,0,0.25
GO:0043524,168,negative regulation of neuron apoptotic process,biological_process,,,122,1,cell-substrate adhesion,0,0.19
GO:0033209,84,tumor necrosis factor-mediated signaling pathway,biological_process,,,315,1,protein complex,0,0.29
GO:0008544,83,epidermis development,biological_process,,,320,1,lipid storage,0,0.26
GO:0006298,60,mismatch repair,biological_process,,,516,1,mitotic spindle organization,0,0.36
GO:0009952,93,anterior/posterior pattern specification,biological_process,,,277,1,shoot apical meristem development,0,0.32
GO:0031640,293,killing of cells of another organism,biological_process,,,54,1,plasma membrane,0,0.23
GO:0007264,97,small GTPase-mediated signal transduction,biological_process,,,260,1,cell-cell signaling,0,0.17
GO:0006886,275,intracellular protein transport,biological_process,,,57,1,intracellular protein transport,1,0.17
GO:0042981,226,regulation of apoptotic process,biological_process,,,79,1,focal adhesion,0,0.54
GO:0031663,41,lipopolysaccharide-mediated signaling pathway,biological_process,,,828,2,positive regulation of cell proliferation,0,0.24
GO:0051384,49,response to glucocorticoid,biological_process,,,656,2,protein targeting to ER,0,0.33
GO:0048870,45,cell motility,biological_process,,,734,2,locomotory behavior,0,0.35
GO:0070102,40,interleukin-6-mediated signaling pathway,biological_process,,,837,2,cellular response to nutrient levels,0,0.29
GO:0001657,38,ureteric bud development,biological_process,,,900,2,cerebral cortex development,0,0.26
GO:0009409,33,response to cold,biological_process,,,1077,2,response to cold,1,0.17
GO:0048839,46,inner ear development,biological_process,,,714,2,cell wall organization,0,0.3
GO:0031116,35,positive regulation of microtubule polymerization,biological_process,,,992,2,protein complex,0,0.28
GO:2001238,50,positive regulation of extrinsic apoptotic signaling pathway,biological_process,,,642,2,None,0,0.27
GO:0075523,34,viral translational frameshifting,biological_process,,,1035,2,cellular response to external stimulus,0,0.55
GO:0019229,21,regulation of vasoconstriction,biological_process,,,1736,3,cellular respiration,0,0.26
GO:0070213,22,protein auto-ADP-ribosylation,biological_process,,,1630,3,cellular response to nutrient levels,0,0.28
GO:0006607,27,NLS-bearing protein import into nucleus,biological_process,,,1327,3,membrane,0,0.51
GO:0016486,24,peptide hormone processing,biological_process,,,1495,3,protein targeting to membrane,0,0.36
GO:0000375,25,"RNA splicing, via transesterification reactions",biological_process,,,1467,3,mRNA capping,0,0.22
GO:0044546,21,NLRP3 inflammasome complex assembly,biological_process,,,1696,3,cellular response to organic substance,0,0.21
GO:0036092,26,phosphatidylinositol-3-phosphate biosynthetic process,biological_process,,,1378,3,cellular response to starvation,0,0.22
GO:0035338,22,long-chain fatty-acyl-CoA biosynthetic process,biological_process,,,1653,3,protein complex,0,0.24
GO:0070327,23,thyroid hormone transport,biological_process,,,1567,3,cellular response to starvation,0,0.32
GO:0021772,21,olfactory bulb development,biological_process,,,1731,3,cellular response to nutrient levels,0,0.35
GO:0050848,16,regulation of calcium-mediated signaling,biological_process,,,2239,4,cell-cell recognition,0,0.33
GO:0015755,19,fructose transmembrane transport,biological_process,,,1901,4,inorganic anion transport,0,0.24
GO:0019370,19,leukotriene biosynthetic process,biological_process,,,1914,4,lipid biosynthetic process,0,0.3
GO:0098712,18,L-glutamate import across plasma membrane,biological_process,,,1929,4,cellular response to external stimulus,0,0.6
GO:0006665,17,sphingolipid metabolic process,biological_process,,,2183,4,phospholipid metabolic process,0,0.35
GO:0086004,16,regulation of cardiac muscle cell contraction,biological_process,,,2231,4,mitotic spindle organization,0,0.23
GO:0010887,16,negative regulation of cholesterol storage,biological_process,,,2194,4,regulation of phosphatase activity,0,0.34
GO:0048388,16,endosomal lumen acidification,biological_process,,,2216,4,embryonic development ending in birth,0,0.28
GO:0086009,16,membrane repolarization,biological_process,,,2247,4,mitotic spindle organization,0,0.55
GO:0072520,16,seminiferous tubule development,biological_process,,,2190,4,cellular response to starvation,0,0.27
GO:0008090,13,retrograde axonal transport,biological_process,,,2707,5,microtubule motor activity,0,0.3
GO:0034975,13,protein folding in endoplasmic reticulum,biological_process,,,2706,5,positive regulation of protein kinase activity,0,0.18
GO:0046621,12,negative regulation of organ growth,biological_process,,,2793,5,cell wall organization,0,0.29
GO:0019852,14,L-ascorbic acid metabolic process,biological_process,,,2525,5,oxidation-reduction process,0,0.28
GO:0046037,12,GMP metabolic process,biological_process,,,2903,5,cellular response to nutrient levels,0,0.23
GO:2001214,12,positive regulation of vasculogenesis,biological_process,,,2953,5,positive regulation of protein kinase activity,0,0.23
GO:1990108,13,protein linear deubiquitination,biological_process,,,2664,5,positive regulation of protein kinase activity,0,0.18
GO:0099159,11,regulation of modification of postsynaptic structure,biological_process,,,3058,5,cellular response to nutrient levels,0,0.3
GO:2000049,13,positive regulation of cell-cell adhesion mediated by cadherin,biological_process,,,2762,5,positive regulation of protein kinase activity,0,0.22
GO:0032026,13,response to magnesium ion,biological_process,,,2745,5,protein complex,0,0.17
GO:0051451,9,myoblast migration,biological_process,,,3622,6,cell migration,0,0.28
GO:1903829,11,positive regulation of protein localization,biological_process,,,3128,6,positive regulation of protein localization,1,0.46
GO:0000301,10,"retrograde transport, vesicle recycling within Golgi",biological_process,,,3279,6,DNA repair,0,0.27
GO:0060296,10,regulation of cilium beat frequency involved in ciliary motility,biological_process,,,3296,6,cell wall organization,0,0.26
GO:0008535,9,respiratory chain complex IV assembly,biological_process,,,3539,6,DNA replication,0,0.17
GO:1902270,10,(R)-carnitine transmembrane transport,biological_process,,,3352,6,positive regulation of protein kinase activity,0,0.27
GO:0045839,9,negative regulation of mitotic nuclear division,biological_process,,,3653,6,positive regulation of T cell mediated cytotoxicity,0,0.27
GO:0061518,9,microglial cell proliferation,biological_process,,,3514,6,positive regulation of cell migration,0,0.35
GO:2000052,9,positive regulation of non-canonical Wnt signaling pathway,biological_process,,,3559,6,positive regulation of protein kinase activity,0,0.62
GO:0021516,9,dorsal spinal cord development,biological_process,,,3665,6,cell wall organization,0,0.21
GO:0035340,9,inosine transport,biological_process,,,3742,7,positive regulation of cell proliferation,0,0.71
GO:0043267,8,negative regulation of potassium ion transport,biological_process,,,3984,7,cellular response to nutrient levels,0,0.61
GO:0010706,8,ganglioside biosynthetic process via lactosylceramide,biological_process,,,4084,7,protein targeting,0,0.19
GO:2000020,8,positive regulation of male gonad development,biological_process,,,3944,7,cellular response to nutrient levels,0,0.36
GO:2000177,9,regulation of neural precursor cell proliferation,biological_process,,,3775,7,positive regulation of protein localization,0,0.24
GO:0071287,9,cellular response to manganese ion,biological_process,,,3716,7,cellular response to nutrient levels,0,0.31
GO:0071076,8,RNA 3' uridylation,biological_process,,,3893,7,cellular response to nutrient levels,0,0.32
GO:0061180,8,mammary gland epithelium development,biological_process,,,4072,7,cell-cell recognition,0,0.3
GO:0050428,9,3'-phosphoadenosine 5'-phosphosulfate biosynthetic process,biological_process,,,3748,7,cell-cell recognition,0,0.32
GO:0070234,8,positive regulation of T cell apoptotic process,biological_process,,,3993,7,cellular response to nutrient levels,0,0.31
GO:0006650,6,glycerophospholipid metabolic process,biological_process,,,4877,8,fatty acid beta-oxidation,0,0.23
GO:0032025,6,response to cobalt ion,biological_process,,,4573,8,cellular response to nutrient levels,0,0.31
GO:0048755,6,branching morphogenesis of a nerve,biological_process,,,4599,8,cell wall organization,0,0.25
GO:0051608,7,histamine transport,biological_process,,,4355,8,DNA replication,0,0.27
GO:0141137,6,"positive regulation of gene expression, epigenetic",biological_process,,,4637,8,positive regulation of protein kinase activity,0,0.27
