hpo_id,hpo_term,pmc_term_hits,hpo_annotation_count,pmc_hpo_id_hits,Match,Rank,Bin,predicted_hpo_term,pmatch,processing_time
HP:0011822,Broad chin,18527,17,2,0,2871,4,Hypertelorism,0,0.39
HP:0000196,Lower lip pit,1784,6,2,0,3211,4,Short stature,0,0.16
HP:0008499,High hypermetropia,9547,48,2,0,2979,4,Hypoplasia of the skin,0,0.44
HP:0040314,Blind vagina,10548,6,2,0,2963,4,Hypoplasia of the skin,0,0.4
HP:0007162,Diffuse demyelination of the cerebral white matter,12027,5,1,0,4361,5,Hypertelorism,0,0.2
HP:0007112,Temporal cortical atrophy,63693,8,1,0,3808,5,Hypoplasia of the skin,0,0.26
HP:0004385,Protracted diarrhea,9479,15,1,0,4474,5,Hypoplasia of the skin,0,0.21
HP:0032199,Abnormal prothrombin time,27684,2,1,0,4045,5,Hypoplasia of the skin,0,0.31
HP:0012137,Abnormal number of granulocyte precursors,9781,2,1,0,4457,5,Hypoplasia of the skin,0,0.52
HP:0010924,Posterior cortical cataract,7723,2,1,0,4552,5,Hypoplasia of the skin,0,0.27
HP:0012747,Abnormal brainstem MRI signal intensity,17208,13,1,0,4226,5,Craniosynostosis,0,0.27
HP:0011152,Early onset absence seizures,86833,3,1,0,3765,5,Hypoplasia of the skin,0,0.41
HP:0007489,Diffuse telangiectasia,8324,3,1,0,4522,5,Hypoplasia of the musculature,0,0.55
HP:0031962,Elevated serum anion gap,10997,7,1,0,4400,5,Hypoplasia of the skin,0,0.42
HP:0005523,Lymphoproliferative disorder,94122,21,1,0,3757,5,Hypoplasia of the skin,0,0.22
HP:0012163,Carotid artery dilatation,20867,8,1,0,4147,5,Hypoplasia of the skin,0,0.31
HP:0011966,Elevated plasma citrulline,9263,10,1,0,4484,5,Hypoplasia of the skin,0,0.41
HP:0011530,Retinal hole,17653,8,1,0,4214,5,Hypoplasia of the skin,0,0.36
HP:0005571,Increased renal tubular phosphate reabsorption,10543,1,1,0,4419,5,Short stature,0,0.19
HP:0000867,Secondary hyperparathyroidism,22359,8,1,0,4124,5,Hypertelorism,0,0.42
HP:0011051,Agenesis of premolar,9299,4,1,0,4482,5,Hypoplasia of the skin,0,0.49
HP:0008555,Absent vestibular function,12707,4,1,0,4334,5,Hypoplasia of the skin,0,0.53
HP:0009902,Cleft helix,23453,1,1,0,4106,5,Hypoplasia of the skin,0,0.4
HP:0002356,Writer's cramp,10593,25,1,0,4416,5,Hypertelorism,0,0.31
HP:0005972,Respiratory acidosis,55042,2,1,0,3856,5,Hypoplasia of the skin,0,0.37
HP:0100324,Scleroderma,33705,20,1,0,3985,5,Hypoplasia of the pancreas,0,133.73
HP:0002203,Respiratory paralysis,54690,10,1,0,3858,5,Hypertelorism,0,0.32
HP:0007987,Progressive visual field defects,50020,9,1,0,3878,5,Hypoplasia of the skin,0,0.21
HP:0003324,Generalized muscle weakness,30473,99,1,0,4007,5,Hypoplasia of the skin,0,0.2
HP:0100630,Neoplasia of the nasopharynx,34496,2,1,0,3978,5,Hypoplasia of the corpus callosum,0,0.27
HP:0030724,Central nervous system cyst,28570,2,1,0,4034,5,Hypoplasia of the skin,0,0.32
HP:0020035,Lower limb dysmetria,11788,1,1,0,4371,5,Hypertension,0,0.22
HP:0032219,Increased proportion of CD4-positive T cells,10454,1,1,0,4424,5,Craniofacial dysmorphism,0,0.24
HP:0008629,Pulsatile tinnitus,31532,9,1,0,3997,5,Hypoplasia of the corpus callosum,0,0.24
HP:0030786,Photopsia,1345,11,1,0,5269,6,Hypoplasia of the skin,0,0.21
HP:0012059,Lentigo maligna melanoma,2342,1,1,0,5072,6,Hypoplasia of the skin,0,0.39
HP:0011701,Multifocal atrial tachycardia,2258,1,1,0,5089,6,Hypertelorism,0,0.18
HP:0004582,Irregularity of vertebral bodies,2388,5,1,0,5060,6,Hypoplasia of the skin,0,0.22
HP:0011043,Abnormal circulating adrenocorticotropin concentration,2758,3,1,0,5012,6,Hypertension,0,0.17
HP:0002946,Supernumerary vertebrae,2297,3,1,0,5078,6,Hypoplasia of the skin,0,0.21
HP:0004729,Acute tubulointerstitial nephritis,1208,1,1,0,5310,6,Hypoplasia of the skin,0,0.2
HP:0030143,Hyperactive bowel sounds,1101,3,1,0,5341,6,Hypertension,0,0.18
HP:0008740,Longitudinal vaginal septum,1793,2,1,0,5165,6,Hypoplasia of the skin,0,0.21
HP:0012071,Abnormal circulating acylcarnitine concentration,929,4,1,0,5398,6,Hypoplasia of the pancreas,0,0.24
HP:0045059,Hyperkeratotic papule,599,17,1,0,5555,6,Craniofacial dysmorphism,0,0.22
HP:0008231,Macronodular adrenal hyperplasia,731,3,1,0,5489,6,Hypoplasia of the skin,0,0.2
HP:0011470,Nasogastric tube feeding in infancy,1737,37,1,0,5179,6,Hypertelorism,0,0.21
HP:0032192,Hydatidiform mole,3440,4,1,0,4921,6,Cranial nerve involvement,0,0.21
HP:0025392,Nodular pattern on pulmonary HRCT,1577,8,1,0,5210,6,Hypoplasia of the skin,0,0.19
HP:0006692,Short chordae tendineae of the tricuspid valve,933,2,1,0,5394,6,Hypoplasia of the skin,0,0.2
HP:0008467,Thoracic hemivertebrae,810,9,1,0,5451,6,Hypoplasia of the skin,0,0.21
HP:0009904,Prominent ear helix,2969,7,1,0,4974,6,Hypoplasia of the skin,0,0.21
HP:0002195,Dysgenesis of the cerebellar vermis,3732,8,1,0,4880,6,Hypertelorism,0,0.2
HP:0005241,Total intestinal aganglionosis,2385,2,1,0,5061,6,Hypoplasia of the skin,0,0.2
HP:0025162,Severe temper tantrums,1979,6,1,0,5130,6,Craniofacial dysmorphism,0,0.23
HP:0009937,Facial hirsutism,4356,11,1,0,4820,6,Hypoplasia of the skin,0,0.29
HP:0001691,Muscular subvalvular aortic stenosis,844,1,1,0,5435,6,Hypertelorism,0,0.22
HP:0004859,Amegakaryocytic thrombocytopenia,713,4,1,0,5502,6,Cataract,0,0.23
HP:0030503,Macular telangiectasia,3155,2,1,0,4947,6,Craniofacial dysmorphism,0,0.3
HP:0031630,Abnormal subpleural morphology,1576,1,1,0,5211,6,Abnormality of the eye,0,0.3
HP:0003440,Horizontal sacrum,4481,4,1,0,4803,6,Hypertelorism,0,0.21
HP:0008110,Equinovarus deformity,5038,17,1,0,4746,6,Hypoplasia of the skin,0,0.22
HP:0004268,Osteoarthritis of the small joints of the hand,4454,4,1,0,4806,6,Hypertelorism,0,0.28
HP:0005368,Abnormality of humoral immunity,5267,6,1,0,4723,6,Hypertelorism,0,0.21
HP:0011940,Anterior wedging of T12,413,2,1,0,5700,7,Craniosynostosis,0,0.28
HP:0030974,Cryptozoospermia,0,6,1,0,6489,7,Cranial nerve involvement,0,0.23
HP:0008705,Ureteral triplication,83,1,1,0,6121,7,Hypoplasia of the skin,0,0.2
HP:0004458,Dilatated internal auditory canal,17,4,1,0,6319,7,Hypoplasia of the skin,0,0.21
HP:0006432,Trapezoidal distal femoral condyles,433,2,1,0,5683,7,Hypoplasia of the skin,0,0.21
HP:0025630,Argininosuccinic aciduria,510,2,1,0,5625,7,Craniofacial dysmorphism,0,0.24
HP:0006406,Club-shaped proximal femur,127,2,1,0,6026,7,Hypertelorism,0,0.2
HP:0006378,Osteolysis of patellae,157,1,1,0,5979,7,Hypoplasia of the skin,0,0.2
HP:0011087,Talon cusp,315,10,1,0,5786,7,Hypoplasia of the skin,0,0.36
HP:0100266,Synostosis of carpals/tarsals,3,2,1,0,6445,7,Hypertension,0,0.2
HP:0005802,Coalescence of tarsal bones,76,2,1,0,6137,7,Hypertelorism,0,0.24
HP:0025572,Punctal stenosis,422,1,1,0,5696,7,Craniofacial dysmorphism,0,0.29
HP:0025357,Erratic myoclonus,247,4,1,0,5857,7,Hypoplasia of the corpus callosum,0,0.24
HP:0009767,Aplasia/Hypoplasia of the phalanges of the hand,23,6,1,0,6288,7,Hypoplasia of the skin,0,0.31
HP:0030867,Vertical orbital dystopia,210,1,1,0,5903,7,Hypoplasia of the pancreas,0,0.22
HP:0010291,Prominent palatine ridges,519,6,1,0,5621,7,Hypoplasia of the skin,0,0.22
HP:0005463,Elongated sella turcica,404,1,1,0,5709,7,Hypoplasia of the skin,0,0.24
HP:0002552,Trichodysplasia,442,8,1,0,5674,7,Short stature,0,0.56
HP:0009276,Contracture of the proximal interphalangeal joint of the 4th finger,173,6,1,0,5950,7,Craniosynostosis,0,0.44
HP:0011599,Mesocardia,265,5,1,0,5836,7,Hypoplasia of the pancreas,0,0.23
HP:0003226,Rectilinear intracellular accumulation of autofluorescent lipopigment storage material,21,3,1,0,6299,7,Hypoplasia of the lower eyelid,0,0.45
HP:0002439,Frontolimbic dementia,459,2,1,0,5662,7,Hypertelorism,0,0.33
HP:0025492,Microcoria,176,5,1,0,5944,7,Craniofacial dysmorphism,0,0.2
HP:0000675,Macrodontia of permanent maxillary central incisor,110,13,1,0,6058,7,Hypertelorism,0,0.17
HP:0100745,Abnormality of the humeroulnar joint,33,3,1,0,6255,7,Hypoplasia of the corpus callosum,0,0.65
HP:0007603,Freckles in sun-exposed areas,407,4,1,0,5704,7,Hypoplasia of the skin,0,0.25
HP:0006321,Multiple non-erupting secondary teeth,3,1,1,0,6448,7,Hypertelorism,0,0.23
HP:0012021,Persistent patent ductus venosus,141,2,1,0,6005,7,Craniofacial dysmorphism,0,0.36
HP:0003411,Proximal femoral metaphyseal irregularity,322,7,1,0,5776,7,Hypoplasia of the skin,0,0.21
HP:0500182,Hypotaurinemia,9,1,1,0,6380,7,Craniofacial dysmorphism,0,0.29
HP:0040307,Male sexual dysfunction,76921,8,0,0,7022,8,Hypoplasia of the pancreas,0,0.26
HP:0000802,Impotence,43474,44,0,0,7417,8,Hypertelorism,0,0.17
HP:0010818,Generalized tonic seizure,54809,53,0,0,7258,8,Craniosynostosis,0,0.23
HP:0010931,Abnormal blood sodium concentration,122111,1,0,0,6823,8,Hypoplasia of the skin,0,0.21
HP:0010741,Pedal edema,44118,59,0,0,7410,8,Hypoplasia of the skin,0,0.24
HP:0034252,Absent corneal reflex,62812,3,0,0,7137,8,Cranial nerve involvement,0,0.33
HP:0031035,Chronic infection,1270454,14,0,0,6537,8,Cranial nerve involvement,0,0.23
HP:0100801,Pancreatic aplasia,125642,7,0,0,6816,8,Hypertension,0,0.21
HP:6000239,Elevated circulating tumor necrosis factor alpha concentration,70082,1,0,0,7072,8,Hypoplastic nails,0,0.23
HP:0011421,Death in adolescence,224637,22,0,0,6666,8,Hypoplasia of the skin,0,0.26
HP:0030886,Abnormal lymphocyte apoptosis,89850,1,0,0,6938,8,Craniosynostosis,0,0.21
HP:0100790,Hernia,93375,60,0,0,6922,8,Hypoplasia of the skin,0,0.22
HP:0011876,Abnormal platelet volume,63949,2,0,0,7125,8,Craniosynostosis,0,0.2
HP:0012142,Pancreatic squamous cell carcinoma,115189,2,0,0,6842,8,Hypoplasia of the pancreas,0,0.24
HP:0003454,Platelet antibody positive,218732,3,0,0,6671,8,Hypertelorism,0,0.27
HP:0001700,Myocardial necrosis,512129,3,0,0,6579,8,Short stature,0,0.2
HP:0034308,Prolonged P wave,101115,2,0,0,6889,8,Abnormality of the ear,0,0.23
HP:0003305,Block vertebrae,61477,8,0,0,7158,8,Short neck,0,0.33
HP:0011302,Long palm,71724,7,0,0,7058,8,Hypoplasia of the skin,0,0.31
HP:0040223,Pulmonary hemorrhage,196209,12,0,0,6695,8,Hypoplasia of the pancreas,0,0.36
HP:0040264,Jaw pain,43345,4,0,0,7419,8,Hypertension,0,0.27
HP:0033399,Persistent fever,138113,2,0,0,6784,8,Craniofacial dysmorphism,0,0.32
HP:0012245,Sex reversal,76328,21,0,0,7026,8,Hypoplasia of the skin,0,0.2
HP:0008011,Peripheral opacification of the cornea,0,1,1,0,6506,8,Hypoplasia of the skin,0,0.28
HP:0033061,Increased factor IX activity,65270,1,0,0,7115,8,Abnormality of the face,0,0.3
HP:0012584,Bilateral renal hypoplasia,51050,7,0,0,7308,8,Hypoplasia of the skin,0,0.27
HP:0040198,Non-medullary thyroid carcinoma,59092,5,0,0,7189,8,Abnormality of the face,0,103.88
HP:0033253,Reduced circulating interferon gamma concentration,50225,1,0,0,7319,8,Abnormality of the eye,0,0.36
HP:0001009,Telangiectasia,47055,55,0,0,7370,8,Macrocephaly,0,0.18
HP:0100027,Recurrent pancreatitis,82385,9,0,0,6984,8,Hypertension,0,0.2
HP:0033247,Pulmonary amyloidosis,18508,1,0,0,8354,9,Abnormality of the eye,0,0.32
HP:0011106,Hypovolemia,23166,17,0,0,8035,9,Hypoplasia of the skin,0,0.45
HP:0011056,Agenesis of first permanent molar tooth,21606,1,0,0,8121,9,Hypoplasia of the skin,0,0.32
HP:0002343,Normal pressure hydrocephalus,22863,7,0,0,8057,9,Hypoplasia of the skin,0,0.22
HP:0032242,Cervical intraepithelial neoplasia,28356,1,0,0,7816,9,Hypoplasia of the skin,0,0.23
HP:0005186,Synovial lining hyperplasia,36738,3,0,0,7567,9,Hypoplasia of the skin,0,0.21
HP:0031086,Ectopic ovary,21659,1,0,0,8117,9,Craniosynostosis,0,0.25
HP:0100954,Open operculum,18502,5,0,0,8355,9,Hypoplasia of the skin,0,0.22
HP:0005353,Recurrent herpes,36263,15,0,0,7581,9,Hypertelorism,0,0.22
HP:0011368,Epidermal thickening,25082,3,0,0,7944,9,Craniofacial dysmorphism,0,0.25
HP:0100819,Intestinal fistula,30796,3,0,0,7730,9,Hypoplasia of the skin,0,0.26
HP:0100648,Neoplasm of the tongue,30912,6,0,0,7723,9,Hypoplasia of the corpus callosum,0,0.22
HP:0004387,Enterocolitis,39444,18,0,0,7493,9,Hypertelorism,0,0.33
HP:0100295,Muscle fiber atrophy,36419,23,0,0,7577,9,Hypoplasia of the skin,0,0.28
HP:0012158,Carotid artery dissection,34381,4,0,0,7624,9,Hypoplasia of the skin,0,0.25
HP:0100773,Cartilage destruction,41794,5,0,0,7444,9,Hypertelorism,0,0.19
HP:0034259,Hypoplasia of the midbrain,36267,1,0,0,7580,9,Short neck,0,0.19
HP:0011935,Decreased urinary urate,19504,6,0,0,8279,9,Hypoplasia of the pancreas,0,0.4
HP:0012851,Colonic stenosis,25006,1,0,0,7947,9,Hypoplasia of the pancreas,0,0.22
HP:0012133,Erythroid hypoplasia,26083,15,0,0,7903,9,Hypoplasia of the skin,0,0.34
HP:0005187,Progressive joint destruction,28618,3,0,0,7803,9,Hypertelorism,0,0.2
HP:0040044,Hypoplasia of the diaphragm,26878,2,0,0,7876,9,Hypoplasia of the skin,0,0.34
HP:0410204,Increased intestinal transit time,36489,1,0,0,7575,9,Hypoplasia of the corpus callosum,0,0.22
HP:0031456,Ectopic pregnancy,38015,1,0,0,7534,9,Hypoplasia of the skin,0,0.22
HP:0032153,Joint subluxation,36960,12,0,0,7562,9,Cranial nerve paralysis,0,0.28
HP:0100679,Lack of skin elasticity,18661,23,0,0,8343,9,Hypertension,0,0.18
HP:0012250,ST segment depression,36133,8,0,0,7583,9,Hypertension,0,0.25
HP:0005207,Gastric hypertrophy,36058,1,0,0,7586,9,Hypoplasia of the skin,0,0.24
HP:0041068,Chronic decreased circulating IgG1,23163,1,0,0,8036,9,Hypoplasia of the skin,0,0.21
HP:0007394,Prominent superficial blood vessels,19233,6,0,0,8299,9,Hypoplasia of the skin,0,138.9
HP:0031817,Decreased circulating parathyroid hormone level,13637,10,0,0,8782,10,X-linked intellectual disability,0,0.2
HP:0005235,Jejunal atresia,9994,14,0,0,9282,10,Hypoplasia of the pancreas,0,0.22
HP:0008715,Testicular dysgenesis,12115,7,0,0,8971,10,Hypoplasia of the skin,0,0.26
HP:0012621,Persistent cloaca,10218,2,0,0,9233,10,Craniosynostosis,0,0.23
HP:0030848,Elevated jugular venous pressure,16327,12,0,0,8531,10,Hypoplasia of the skin,0,0.23
HP:0040134,Abnormal hepatic iron concentration,16636,1,0,0,8509,10,Craniosynostosis,0,0.21
HP:0007980,Absent retinal pigment epithelium,11779,4,0,0,9010,10,Hypoplasia of the skin,0,0.24
HP:0012698,Cerebellar gliosis,16691,4,0,0,8507,10,Hypertelorism,0,0.22
HP:0011919,Pleural empyema,13092,8,0,0,8853,10,Craniosynostosis,0,0.27
HP:0500233,Increased CSF alanine concentration,11009,3,0,0,9115,10,Abnormality of the face,0,0.24
HP:0033310,Osmotic diarrhea,11969,1,0,0,8985,10,Craniofacial dysmorphism,0,0.25
HP:0003733,Thigh hypertrophy,10044,3,0,0,9273,10,Hypoplasia of the skin,0,0.22
HP:0032670,Tonic status epilepticus,9987,1,0,0,9285,10,Hypoplasia of the skin,0,266.62
HP:0007924,Slow decrease in visual acuity,12288,15,0,0,8955,10,Hypoplasia of the skin,0,0.31
