GO_ID,Count,GO_TERM,Aspect,go_id_pmc,go_term_pmc,Rank,Bin,predicted_go_id,pmatch
GO:0008290,8,F-actin capping protein complex,cellular_component,3,29,912,11,GO:0008290,1
GO:0001520,7,outer dense fiber,cellular_component,3,761,975,11,GO:0005944,0
GO:0070449,7,elongin complex,cellular_component,1,65,965,11,GO:0005678,0
GO:0016914,7,follicle-stimulating hormone complex,cellular_component,1,1,938,11,GO:0001520,0
GO:0032044,6,DSIF complex,cellular_component,1,156,1044,12,GO:0000336,0
GO:0098985,6,"asymmetric, glutamatergic, excitatory synapse",cellular_component,1,0,1060,12,GO:0098834,0
GO:0097342,6,ripoptosome,cellular_component,2,973,1053,12,GO:1903231,0
GO:0097145,5,BAK complex,cellular_component,0,56,1084,12,GO:0005739,0
GO:0016939,5,kinesin II complex,cellular_component,0,141,1079,12,GO:0005869,0
GO:0002079,6,inner acrosomal membrane,cellular_component,2,379,1056,12,GO:0001669,0
GO:0106003,6,amyloid-beta complex,cellular_component,0,6,1013,12,GO:0070062,0
GO:0097180,6,serine protease inhibitor complex,cellular_component,2,0,1063,12,GO:0010951,0
GO:0042720,5,mitochondrial inner membrane peptidase complex,cellular_component,1,34,1091,12,GO:0098807,0
GO:0005826,5,actomyosin contractile ring,cellular_component,4,663,1076,12,GO:0030479,0
GO:0061696,5,pituitary gonadotropin complex,cellular_component,0,0,1154,13,GO:0005126,0
GO:0016507,5,mitochondrial fatty acid beta-oxidation multienzyme complex,cellular_component,2,2,1133,13,GO:0005739,0
GO:0031515,5,tRNA (m1A) methyltransferase complex,cellular_component,0,1,1117,13,GO:0032259,0
GO:0098944,5,postsynaptic recycling endosome membrane,cellular_component,0,0,1147,13,GO:0098836,0
GO:0106002,5,mCRD-mediated mRNA stability complex,cellular_component,0,0,1153,13,GO:0035278,0
GO:0005642,5,annulate lamellae,cellular_component,1,606,1141,13,GO:0000793,0
GO:0062157,4,mitochondrial ATP-gated potassium channel complex,cellular_component,0,0,1161,13,GO:0008078,0
GO:1905347,5,endodeoxyribonuclease complex,cellular_component,0,0,1123,13,GO:0005736,0
GO:0097728,5,9+0 motile cilium,cellular_component,1,0,1102,13,GO:0031514,0
GO:0005586,5,collagen type III trimer,cellular_component,4,0,1114,13,GO:0005587,0
GO:1990406,4,CGRP receptor complex,cellular_component,0,111,1255,14,GO:0098665,0
GO:0045293,4,mRNA editing complex,cellular_component,0,124,1256,14,GO:0000178,0
GO:1904090,4,peptidase inhibitor complex,cellular_component,0,1,1268,14,GO:0005616,0
GO:0034688,4,integrin alphaM-beta2 complex,cellular_component,0,0,1214,14,GO:0034683,0
GO:1990667,4,PCSK9-AnxA2 complex,cellular_component,0,0,1240,14,GO:1904813,0
GO:1990357,4,terminal web,cellular_component,2,1088,1233,14,GO:0005911,0
GO:0097196,4,Shu complex,cellular_component,1,217,1203,14,GO:0031596,0
GO:0071748,4,monomeric IgA immunoglobulin complex,cellular_component,0,0,1247,14,GO:0071671,0
GO:0070381,4,endosome to plasma membrane transport vesicle,cellular_component,0,0,1212,14,GO:0030666,0
GO:0005862,4,muscle thin filament tropomyosin,cellular_component,6,25,1189,14,GO:0005862,1
GO:1990512,3,Cry-Per complex,cellular_component,1,0,1318,15,GO:0009954,0
GO:0070743,3,interleukin-23 complex,cellular_component,0,0,1347,15,GO:0032994,0
GO:0070069,3,cytochrome complex,cellular_component,16,686,1278,15,GO:0019866,0
GO:0070033,3,synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex,cellular_component,1,0,1313,15,GO:0030118,0
GO:0150048,3,cerebellar granule cell to Purkinje cell synapse,cellular_component,0,0,1335,15,GO:0099563,0
GO:0061773,3,eNoSc complex,cellular_component,1,12,1321,15,GO:0032218,0
GO:0061851,3,leading edge of lamellipodium,cellular_component,0,0,1341,15,GO:0031252,0
GO:0035868,3,alphav-beta3 integrin-HMGB1 complex,cellular_component,0,0,1351,15,GO:0034706,0
GO:0044753,3,amphisome,cellular_component,1,809,1296,15,GO:0005770,0
GO:0031391,3,Elg1 RFC-like complex,cellular_component,1,0,1315,15,GO:0042770,0
GO:0000262,2,mitochondrial chromosome,cellular_component,0,956,1428,16,GO:0005737,0
GO:0045098,3,type III intermediate filament,cellular_component,2,1158,1391,16,GO:0005881,0
GO:1990425,2,ryanodine receptor complex,cellular_component,0,576,1419,16,GO:0016529,0
GO:0097519,2,DNA recombinase complex,cellular_component,0,0,1414,16,GO:0000800,0
GO:1990590,3,ATF1-ATF4 transcription factor complex,cellular_component,0,1,1373,16,GO:1903506,0
GO:1990711,2,beta-catenin-ICAT complex,cellular_component,0,2,1454,16,GO:0034706,0
GO:0032156,2,septin cytoskeleton,cellular_component,0,671,1430,16,GO:0015629,0
GO:0070443,2,Mad-Max complex,cellular_component,0,58,1416,16,GO:0034706,0
GO:0033011,2,perinuclear theca,cellular_component,0,246,1436,16,GO:0005932,0
GO:0008328,2,ionotropic glutamate receptor complex,cellular_component,16,52,1434,16,GO:0008066,0
GO:1905360,2,GTPase complex,cellular_component,4,582,1535,17,GO:0005833,0
GO:0097014,2,ciliary plasm,cellular_component,21,11,1491,17,GO:0060170,0
GO:0031501,2,mannosyltransferase complex,cellular_component,3,105,1547,17,GO:0000139,0
GO:1990566,2,I(KACh) inward rectifier potassium channel complex,cellular_component,0,0,1484,17,GO:0008076,0
GO:1990728,2,mitotic spindle assembly checkpoint MAD1-MAD2 complex,cellular_component,0,0,1495,17,GO:0007094,0
GO:1990647,2,C/EBP complex,cellular_component,0,31,1500,17,GO:0032963,0
GO:0097133,2,cyclin D3-CDK6 complex,cellular_component,0,22,1482,17,GO:0076491,0
GO:0032476,2,polyprenyl diphosphate synthase complex,cellular_component,0,0,1516,17,GO:0005942,0
GO:0071133,2,alpha9-beta1 integrin-ADAM8 complex,cellular_component,0,0,1514,17,GO:0098793,0
GO:0140240,2,perforant pathway to dendrate granule cell synapse,cellular_component,0,0,1487,17,GO:0099644,0
GO:0005969,1,serine-pyruvate aminotransferase complex,cellular_component,0,0,1612,18,GO:0005829,0
GO:1990620,1,ANPR-A receptor complex,cellular_component,0,0,1633,18,GO:0032814,0
GO:0150056,1,amylin receptor complex 1,cellular_component,0,0,1628,18,GO:0098664,0
GO:0097181,1,protein C inhibitor-coagulation factor V complex,cellular_component,0,0,1623,18,GO:0032991,0
GO:0031906,2,late endosome lumen,cellular_component,3,5,1562,18,GO:0031904,0
GO:0070210,2,Rpd3L-Expanded complex,cellular_component,3,1,1560,18,GO:0071692,0
GO:0035841,1,new growing cell tip,cellular_component,0,0,1593,18,GO:0031175,0
GO:0034777,1,recycling endosome lumen,cellular_component,0,0,1613,18,GO:0031902,0
GO:1990047,2,spindle matrix,cellular_component,1,531,1585,18,GO:0043204,0
GO:0043073,2,germ cell nucleus,cellular_component,3,152,1558,18,GO:0005818,0
GO:0034718,1,SMN-Gemin2 complex,cellular_component,0,46,1651,19,GO:0070156,0
GO:0070826,1,paraferritin complex,cellular_component,1,0,1724,19,GO:0012511,0
GO:1990706,1,MAD1 complex,cellular_component,0,13,1702,19,GO:0005680,0
GO:1902912,1,pyruvate kinase complex,cellular_component,0,3,1683,19,GO:0005820,0
GO:0031475,1,myosin V complex,cellular_component,0,5,1706,19,GO:0005860,0
GO:0033593,1,BRCA2-MAGE-D1 complex,cellular_component,1,0,1725,19,GO:0030880,0
GO:0071513,1,phosphopantothenoylcysteine decarboxylase complex,cellular_component,1,0,1716,19,GO:0005942,0
GO:1990038,1,Lewy body corona,cellular_component,1,0,1728,19,GO:0097224,0
GO:0035838,1,growing cell tip,cellular_component,0,57,1648,19,GO:0031258,0
GO:0045267,1,"proton-transporting ATP synthase, catalytic core",cellular_component,0,6,1711,19,GO:0045261,0
GO:0005700,1,polytene chromosome,cellular_component,1,2540,1749,20,GO:0000792,0
GO:0044207,1,translation initiation ternary complex,cellular_component,1,2,1771,20,GO:0033290,0
GO:0009360,1,DNA polymerase III complex,cellular_component,7,61,1832,20,GO:0005736,0
GO:0120231,1,DNA recombinase auxiliary factor complex,cellular_component,0,0,1808,20,GO:0043138,0
GO:0120134,1,proximal portion of axoneme,cellular_component,0,0,1799,20,GO:0031514,0
GO:0090498,1,extrinsic component of Golgi membrane,cellular_component,0,0,1787,20,GO:0031227,0
GO:0097471,1,mossy fiber rosette,cellular_component,1,21,1764,20,GO:0097471,1
GO:0044225,1,apical pole of neuron,cellular_component,1,0,1745,20,GO:0097458,0
GO:0043528,1,tRNA (m2G10) methyltransferase complex,cellular_component,0,0,1809,20,GO:0032268,0
GO:0097409,1,glial cytoplasmic inclusion,cellular_component,1,194,1760,20,GO:0043209,0
GO:0006099,65,tricarboxylic acid cycle,biological_process,,,463,1,GO:0006099,1
GO:0006487,97,protein N-linked glycosylation,biological_process,,,263,1,GO:0006487,1
GO:0097191,66,extrinsic apoptotic signaling pathway,biological_process,,,448,1,GO:0097191,1
GO:0002931,67,response to ischemia,biological_process,,,438,1,GO:0006979,0
GO:0051321,72,meiotic cell cycle,biological_process,,,392,1,GO:0051321,1
GO:2000648,65,positive regulation of stem cell proliferation,biological_process,,,464,1,GO:2000641,0
GO:0050821,317,protein stabilization,biological_process,,,52,1,GO:0050821,1
GO:0007094,53,mitotic spindle assembly checkpoint signaling,biological_process,,,593,1,GO:0007091,0
GO:0048812,69,neuron projection morphogenesis,biological_process,,,421,1,GO:0048812,1
GO:0060041,63,retina development in camera-type eye,biological_process,,,481,1,GO:0060041,1
GO:0045050,34,protein insertion into ER membrane by stop-transfer membrane-anchor sequence,biological_process,,,1026,2,GO:0006626,0
GO:0051966,33,"regulation of synaptic transmission, glutamatergic",biological_process,,,1073,2,GO:0051965,0
GO:0008033,37,tRNA processing,biological_process,,,920,2,GO:0008033,1
GO:0000422,33,autophagy of mitochondrion,biological_process,,,1069,2,GO:0000422,1
GO:0019216,39,regulation of lipid metabolic process,biological_process,,,884,2,GO:0019216,1
GO:0032727,33,positive regulation of interferon-alpha production,biological_process,,,1087,2,GO:0032728,0
GO:0090050,47,positive regulation of cell migration involved in sprouting angiogenesis,biological_process,,,710,2,GO:1903589,0
GO:0000079,31,regulation of cyclin-dependent protein serine/threonine kinase activity,biological_process,,,1155,2,GO:0000079,1
GO:0042542,36,response to hydrogen peroxide,biological_process,,,951,2,GO:0042542,1
GO:0030214,30,hyaluronan catabolic process,biological_process,,,1200,2,GO:0030214,1
GO:0038066,28,p38MAPK cascade,biological_process,,,1289,3,GO:0038062,0
GO:0097435,21,supramolecular fiber organization,biological_process,,,1744,3,GO:0097435,1
GO:0140042,22,lipid droplet formation,biological_process,,,1650,3,GO:0070328,0
GO:0010996,25,response to auditory stimulus,biological_process,,,1407,3,GO:0010942,0
GO:0085020,22,protein K6-linked ubiquitination,biological_process,,,1610,3,GO:0070936,0
GO:0032502,20,developmental process,biological_process,,,1780,3,GO:0032502,1
GO:0006977,25,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",biological_process,,,1419,3,GO:0006977,1
GO:0006939,21,smooth muscle contraction,biological_process,,,1721,3,GO:0006939,1
GO:0033619,20,membrane protein proteolysis,biological_process,,,1793,3,GO:0006508,0
GO:0048015,24,phosphatidylinositol-mediated signaling,biological_process,,,1492,3,GO:0016310,0
GO:0071498,17,cellular response to fluid shear stress,biological_process,,,2187,4,GO:0034614,0
GO:0007208,15,phospholipase C-activating serotonin receptor signaling pathway,biological_process,,,2361,4,GO:0007210,0
GO:0035162,17,embryonic hemopoiesis,biological_process,,,2109,4,GO:0035162,1
GO:0006892,19,post-Golgi vesicle-mediated transport,biological_process,,,1893,4,GO:0016192,0
GO:0010763,15,positive regulation of fibroblast migration,biological_process,,,2333,4,GO:1904954,0
GO:0033630,18,positive regulation of cell adhesion mediated by integrin,biological_process,,,1992,4,GO:0010921,0
GO:0030311,16,poly-N-acetyllactosamine biosynthetic process,biological_process,,,2309,4,GO:0046036,0
GO:0043200,18,response to amino acid,biological_process,,,2032,4,GO:0043200,1
GO:1990869,17,cellular response to chemokine,biological_process,,,2129,4,GO:1990864,0
GO:0051256,17,mitotic spindle midzone assembly,biological_process,,,2188,4,GO:0007052,0
GO:1903980,14,positive regulation of microglial cell activation,biological_process,,,2536,5,GO:1903038,0
GO:0042592,12,homeostatic process,biological_process,,,2933,5,GO:0042592,1
GO:0035455,14,response to interferon-alpha,biological_process,,,2516,5,GO:0035455,1
GO:0010884,14,positive regulation of lipid storage,biological_process,,,2562,5,GO:0010881,0
GO:1900246,12,positive regulation of RIG-I signaling pathway,biological_process,,,2888,5,GO:0060762,0
GO:0006729,13,tetrahydrobiopterin biosynthetic process,biological_process,,,2655,5,GO:0006729,1
GO:0006995,12,cellular response to nitrogen starvation,biological_process,,,2860,5,GO:0071216,0
GO:1904996,14,positive regulation of leukocyte adhesion to vascular endothelial cell,biological_process,,,2474,5,GO:1903036,0
GO:0060259,12,regulation of feeding behavior,biological_process,,,2930,5,GO:0060259,1
GO:0040015,13,negative regulation of multicellular organism growth,biological_process,,,2713,5,GO:0040009,0
GO:0032649,9,regulation of type II interferon production,biological_process,,,3498,6,GO:0060337,0
GO:0021612,10,facial nerve structural organization,biological_process,,,3351,6,GO:0061622,0
GO:0070574,9,cadmium ion transmembrane transport,biological_process,,,3551,6,GO:0072509,0
GO:0032873,9,negative regulation of stress-activated MAPK cascade,biological_process,,,3529,6,GO:0043528,0
GO:0010898,10,positive regulation of triglyceride catabolic process,biological_process,,,3237,6,GO:0019210,0
GO:0071787,10,endoplasmic reticulum tubular network formation,biological_process,,,3235,6,GO:0070978,0
GO:0097011,11,cellular response to granulocyte macrophage colony-stimulating factor stimulus,biological_process,,,3146,6,GO:0071347,0
GO:0008228,10,opsonization,biological_process,,,3236,6,GO:0008228,1
GO:0070291,10,N-acylethanolamine metabolic process,biological_process,,,3280,6,GO:0046175,0
GO:1905198,10,manchette assembly,biological_process,,,3374,6,GO:0007052,0
GO:0002842,7,positive regulation of T cell mediated immune response to tumor cell,biological_process,,,4171,7,GO:0002768,0
GO:0009086,7,methionine biosynthetic process,biological_process,,,4151,7,GO:0009086,1
GO:0009888,8,tissue development,biological_process,,,3806,7,GO:0009888,1
GO:0038160,8,CXCL12-activated CXCR4 signaling pathway,biological_process,,,3876,7,GO:0038155,0
GO:0033490,8,cholesterol biosynthetic process via lathosterol,biological_process,,,4068,7,GO:0033578,0
GO:2000144,8,positive regulation of DNA-templated transcription initiation,biological_process,,,4043,7,GO:0061712,0
GO:0036035,8,osteoclast development,biological_process,,,3949,7,GO:0030316,0
GO:2001259,8,positive regulation of cation channel activity,biological_process,,,3800,7,GO:0005249,0
GO:0044351,8,macropinocytosis,biological_process,,,4087,7,GO:0045126,0
GO:0032532,7,regulation of microvillus length,biological_process,,,4120,7,GO:0090179,0
GO:0051132,7,NK T cell activation,biological_process,,,4345,8,GO:0002288,0
GO:0043489,6,RNA stabilization,biological_process,,,4712,8,GO:0010260,0
GO:0007435,7,salivary gland morphogenesis,biological_process,,,4472,8,GO:0060918,0
GO:0060372,6,regulation of atrial cardiac muscle cell membrane repolarization,biological_process,,,4892,8,GO:0060371,0
GO:0045836,6,positive regulation of meiotic nuclear division,biological_process,,,4876,8,GO:0045842,0
GO:0033603,6,positive regulation of dopamine secretion,biological_process,,,4585,8,GO:0042311,0
GO:0043217,6,myelin maintenance,biological_process,,,4801,8,GO:0014010,0
GO:0061041,7,regulation of wound healing,biological_process,,,4469,8,GO:0009611,0
GO:0060129,6,thyroid-stimulating hormone-secreting cell differentiation,biological_process,,,4603,8,GO:0060126,0
GO:0046881,6,positive regulation of follicle-stimulating hormone secretion,biological_process,,,4654,8,GO:0051403,0
GO:0031401,6,positive regulation of protein modification process,biological_process,,,5007,9,GO:0031401,1
GO:0014827,5,intestine smooth muscle contraction,biological_process,,,5114,9,GO:0014824,0
GO:0090625,5,siRNA-mediated gene silencing by mRNA destabilization,biological_process,,,5256,9,GO:0035196,0
GO:0033081,6,regulation of T cell differentiation in thymus,biological_process,,,4986,9,GO:0033085,0
GO:0035112,5,genitalia morphogenesis,biological_process,,,5065,9,GO:0007492,0
GO:0009450,5,gamma-aminobutyric acid catabolic process,biological_process,,,5357,9,GO:0006548,0
GO:0043587,5,tongue morphogenesis,biological_process,,,5384,9,GO:0060918,0
GO:0006249,6,dCMP catabolic process,biological_process,,,4991,9,GO:0006211,0
GO:0072189,6,ureter development,biological_process,,,4943,9,GO:0001655,0
GO:0072656,5,maintenance of protein location in mitochondrion,biological_process,,,5061,9,GO:0051641,0
GO:0045003,4,double-strand break repair via synthesis-dependent strand annealing,biological_process,,,6010,10,GO:0000710,0
GO:0033153,4,T cell receptor V(D)J recombination,biological_process,,,6072,10,GO:0002308,0
GO:0002313,4,mature B cell differentiation involved in immune response,biological_process,,,5714,10,GO:0002315,0
GO:0002074,4,extraocular skeletal muscle development,biological_process,,,6079,10,GO:0050905,0
GO:0006386,4,termination of RNA polymerase III transcription,biological_process,,,5988,10,GO:0006383,0
GO:0032507,5,maintenance of protein location in cell,biological_process,,,5549,10,GO:0051641,0
GO:0010694,4,positive regulation of alkaline phosphatase activity,biological_process,,,6116,10,GO:0030544,0
GO:1901533,4,negative regulation of hematopoietic progenitor cell differentiation,biological_process,,,5852,10,GO:1904858,0
GO:0008088,5,axo-dendritic transport,biological_process,,,5590,10,GO:0008092,0
GO:0032348,4,negative regulation of aldosterone biosynthetic process,biological_process,,,5822,10,GO:2000311,0
GO:0060421,4,positive regulation of heart growth,biological_process,,,6345,11,GO:0061337,0
GO:1903843,3,cellular response to arsenite ion,biological_process,,,6676,11,GO:0072701,0
GO:0003192,3,mitral valve formation,biological_process,,,6596,11,GO:0060411,0
GO:0031952,4,regulation of protein autophosphorylation,biological_process,,,6269,11,GO:0046777,0
GO:0035434,4,copper ion transmembrane transport,biological_process,,,6177,11,GO:0072509,0
GO:0071635,4,negative regulation of transforming growth factor beta production,biological_process,,,6416,11,GO:0030512,0
GO:0060541,4,respiratory system development,biological_process,,,6159,11,GO:0060541,1
GO:0060741,3,prostate gland stromal morphogenesis,biological_process,,,6622,11,GO:0060513,0
GO:1905049,4,negative regulation of metallopeptidase activity,biological_process,,,6582,11,GO:0038191,0
GO:1905165,4,regulation of lysosomal protein catabolic process,biological_process,,,6370,11,GO:1905144,0
GO:2001287,3,negative regulation of caveolin-mediated endocytosis,biological_process,,,7064,12,GO:2000371,0
GO:0030910,3,olfactory placode formation,biological_process,,,7171,12,GO:0002161,0
GO:0044375,3,regulation of peroxisome size,biological_process,,,7192,12,GO:2000234,0
GO:0034767,3,positive regulation of monoatomic ion transmembrane transport,biological_process,,,7356,12,GO:0043266,0
