hpo_id,hpo_term,pmc_term_hits,hpo_annotation_count,pmc_hpo_id_hits,Match,Rank,Bin,predicted_hpo_id,pmatch
HP:0001046,Intermittent jaundice,10104,14,3,0,2373,3,HP:0002907,0
HP:0004523,Long eyebrows,8955,6,4,0,2089,3,HP:0002553,0
HP:0012047,Hemeralopia,187427,12,3,0,2243,3,HP:0000521,0
HP:0009875,Triangular shaped distal phalanges of the hand,227,2,2,0,3458,4,HP:0009834,0
HP:0008357,Reduced factor XIII activity,10709,5,2,0,2960,4,HP:0001910,0
HP:0031629,Impaired tandem gait,5462,13,2,0,3060,4,HP:0002141,0
HP:0005386,Recurrent protozoan infections,7018,3,2,0,3021,4,HP:0002718,0
HP:0020062,Decreased hemoglobin concentration,147482,5,1,0,3706,4,HP:0001903,0
HP:0000913,Posterior rib fusion,5938,5,2,0,3045,4,HP:0004612,0
HP:0033748,Hypoesthesia,11316,20,2,0,2951,4,HP:0001267,0
HP:0006465,Periosteal thickening of long tubular bones,467,4,2,0,3385,4,HP:0006464,0
HP:0010508,Metatarsus valgus,4270,11,2,0,3085,4,HP:0008236,0
HP:0006779,Alveolar rhabdomyosarcoma,6775,2,2,0,3025,4,HP:0006739,0
HP:0001869,Deep plantar creases,315,21,2,0,3427,4,HP:0001869,1
HP:0020172,Adverse drug response,707949,2,1,0,3612,4,HP:0004298,0
HP:0006394,Limited pronation/supination of forearm,771,13,2,0,3326,4,HP:0002993,0
HP:0012705,Abnormal metabolic brain imaging by MRS,7889,3,2,0,3006,4,HP:0003449,0
HP:0003131,Cystinuria,2048,10,2,0,3194,4,HP:0001974,0
HP:0002979,Bowing of the legs,3571,54,2,0,3112,4,HP:0002817,0
HP:0011947,Respiratory tract infection,528398,38,1,0,3617,4,HP:0002813,0
HP:0004825,Increased hemoglobin oxygen affinity,24196,1,2,0,2829,4,HP:0008136,0
HP:0007041,Chronic lymphocytic meningitis,14980,5,2,0,2905,4,HP:0002922,0
HP:0032663,Focal motor status epilepticus,8132,5,2,0,2999,4,HP:0002197,0
HP:0002140,Ischemic stroke,303324,26,1,0,3640,4,HP:0001297,0
HP:0001912,Abnormal basophil morphology,4680,1,2,0,3079,4,HP:0004806,0
HP:0006268,Fluctuating splenomegaly,771,2,2,0,3327,4,HP:0002591,0
HP:0006665,Coat hanger sign of ribs,12,5,2,0,3570,4,HP:0006589,0
HP:0004050,Absent hand,393557,10,1,0,3632,4,HP:0004059,0
HP:0005291,Inflammatory arteriopathy,5146,2,2,0,3067,4,HP:0002634,0
HP:0011822,Broad chin,18527,17,2,0,2871,4,HP:0000307,0
HP:0000196,Lower lip pit,1784,6,2,0,3211,4,HP:0000189,0
HP:0008499,High hypermetropia,9547,48,2,0,2979,4,HP:0003674,0
HP:0040314,Blind vagina,10548,6,2,0,2963,4,HP:0000073,0
HP:0007162,Diffuse demyelination of the cerebral white matter,12027,5,1,0,4361,5,HP:0007208,0
HP:0007112,Temporal cortical atrophy,63693,8,1,0,3808,5,HP:0002121,0
HP:0004385,Protracted diarrhea,9479,15,1,0,4474,5,HP:0002033,0
HP:0032199,Abnormal prothrombin time,27684,2,1,0,4045,5,HP:0003151,0
HP:0012137,Abnormal number of granulocyte precursors,9781,2,1,0,4457,5,HP:0001878,0
HP:0010924,Posterior cortical cataract,7723,2,1,0,4552,5,HP:0007754,0
HP:0012747,Abnormal brainstem MRI signal intensity,17208,13,1,0,4226,5,HP:0006889,0
HP:0011152,Early onset absence seizures,86833,3,1,0,3765,5,HP:0002368,0
HP:0007489,Diffuse telangiectasia,8324,3,1,0,4522,5,HP:0001004,0
HP:0031962,Elevated serum anion gap,10997,7,1,0,4400,5,HP:0003262,0
HP:0005523,Lymphoproliferative disorder,94122,21,1,0,3757,5,HP:0002729,0
HP:0012163,Carotid artery dilatation,20867,8,1,0,4147,5,HP:0002625,0
HP:0011966,Elevated plasma citrulline,9263,10,1,0,4484,5,HP:0003544,0
HP:0011530,Retinal hole,17653,8,1,0,4214,5,HP:0007909,0
HP:0005571,Increased renal tubular phosphate reabsorption,10543,1,1,0,4419,5,HP:0004847,0
HP:0000867,Secondary hyperparathyroidism,22359,8,1,0,4124,5,HP:0008206,0
HP:0011051,Agenesis of premolar,9299,4,1,0,4482,5,HP:0008070,0
HP:0008555,Absent vestibular function,12707,4,1,0,4334,5,HP:0000119,0
HP:0009902,Cleft helix,23453,1,1,0,4106,5,HP:0000407,0
HP:0002356,Writer's cramp,10593,25,1,0,4416,5,HP:0002068,0
HP:0005972,Respiratory acidosis,55042,2,1,0,3856,5,HP:0005977,0
HP:0100324,Scleroderma,33705,20,1,0,3985,5,HP:0000767,0
HP:0002203,Respiratory paralysis,54690,10,1,0,3858,5,HP:0002188,0
HP:0007987,Progressive visual field defects,50020,9,1,0,3878,5,HP:0001130,0
HP:0003324,Generalized muscle weakness,30473,99,1,0,4007,5,HP:0003322,0
HP:0100630,Neoplasia of the nasopharynx,34496,2,1,0,3978,5,HP:0006759,0
HP:0030724,Central nervous system cyst,28570,2,1,0,4034,5,HP:0002111,0
HP:0020035,Lower limb dysmetria,11788,1,1,0,4371,5,HP:0002061,0
HP:0032219,Increased proportion of CD4-positive T cells,10454,1,1,0,4424,5,HP:0002728,0
HP:0008629,Pulsatile tinnitus,31532,9,1,0,3997,5,HP:0010731,0
HP:0030786,Photopsia,1345,11,1,0,5269,6,HP:0000612,0
HP:0012059,Lentigo maligna melanoma,2342,1,1,0,5072,6,HP:0006739,0
HP:0011701,Multifocal atrial tachycardia,2258,1,1,0,5089,6,HP:0011705,0
HP:0004582,Irregularity of vertebral bodies,2388,5,1,0,5060,6,HP:0003301,0
HP:0011043,Abnormal circulating adrenocorticotropin concentration,2758,3,1,0,5012,6,HP:0011744,0
HP:0002946,Supernumerary vertebrae,2297,3,1,0,5078,6,HP:0008434,0
HP:0004729,Acute tubulointerstitial nephritis,1208,1,1,0,5310,6,HP:0001970,0
HP:0030143,Hyperactive bowel sounds,1101,3,1,0,5341,6,HP:0002597,0
HP:0008740,Longitudinal vaginal septum,1793,2,1,0,5165,6,HP:0000136,0
HP:0012071,Abnormal circulating acylcarnitine concentration,929,4,1,0,5398,6,HP:0011024,0
HP:0045059,Hyperkeratotic papule,599,17,1,0,5555,6,HP:0007483,0
HP:0008231,Macronodular adrenal hyperplasia,731,3,1,0,5489,6,HP:0006704,0
HP:0011470,Nasogastric tube feeding in infancy,1737,37,1,0,5179,6,HP:0011968,0
HP:0032192,Hydatidiform mole,3440,4,1,0,4921,6,HP:0009721,0
HP:0025392,Nodular pattern on pulmonary HRCT,1577,8,1,0,5210,6,HP:0012162,0
HP:0006692,Short chordae tendineae of the tricuspid valve,933,2,1,0,5394,6,HP:0011664,0
HP:0008467,Thoracic hemivertebrae,810,9,1,0,5451,6,HP:0008467,1
HP:0009904,Prominent ear helix,2969,7,1,0,4974,6,HP:0009911,0
HP:0002195,Dysgenesis of the cerebellar vermis,3732,8,1,0,4880,6,HP:0002197,0
HP:0005241,Total intestinal aganglionosis,2385,2,1,0,5061,6,HP:0002255,0
HP:0025162,Severe temper tantrums,1979,6,1,0,5130,6,HP:0000718,0
HP:0009937,Facial hirsutism,4356,11,1,0,4820,6,HP:0002225,0
HP:0001691,Muscular subvalvular aortic stenosis,844,1,1,0,5435,6,HP:0004444,0
HP:0004859,Amegakaryocytic thrombocytopenia,713,4,1,0,5502,6,HP:0001902,0
HP:0030503,Macular telangiectasia,3155,2,1,0,4947,6,HP:0001103,0
HP:0031630,Abnormal subpleural morphology,1576,1,1,0,5211,6,HP:0004712,0
HP:0003440,Horizontal sacrum,4481,4,1,0,4803,6,HP:0003280,0
HP:0008110,Equinovarus deformity,5038,17,1,0,4746,6,HP:0001762,0
HP:0004268,Osteoarthritis of the small joints of the hand,4454,4,1,0,4806,6,HP:0004205,0
HP:0005368,Abnormality of humoral immunity,5267,6,1,0,4723,6,HP:0002717,0
HP:0011940,Anterior wedging of T12,413,2,1,0,5700,7,HP:0008431,0
HP:0030974,Cryptozoospermia,0,6,1,0,6489,7,HP:0007281,0
HP:0008705,Ureteral triplication,83,1,1,0,6121,7,HP:0000076,0
HP:0004458,Dilatated internal auditory canal,17,4,1,0,6319,7,HP:0008674,0
HP:0006432,Trapezoidal distal femoral condyles,433,2,1,0,5683,7,HP:0006436,0
HP:0025630,Argininosuccinic aciduria,510,2,1,0,5625,7,HP:0002159,0
HP:0006406,Club-shaped proximal femur,127,2,1,0,6026,7,HP:0006383,0
HP:0006378,Osteolysis of patellae,157,1,1,0,5979,7,HP:0005094,0
HP:0011087,Talon cusp,315,10,1,0,5786,7,HP:0000689,0
HP:0100266,Synostosis of carpals/tarsals,3,2,1,0,6445,7,HP:0001491,0
HP:0005802,Coalescence of tarsal bones,76,2,1,0,6137,7,HP:0008081,0
HP:0025572,Punctal stenosis,422,1,1,0,5696,7,HP:0000614,0
HP:0025357,Erratic myoclonus,247,4,1,0,5857,7,HP:0002129,0
HP:0009767,Aplasia/Hypoplasia of the phalanges of the hand,23,6,1,0,6288,7,HP:0001500,0
HP:0030867,Vertical orbital dystopia,210,1,1,0,5903,7,HP:0000337,0
HP:0010291,Prominent palatine ridges,519,6,1,0,5621,7,HP:0000194,0
HP:0005463,Elongated sella turcica,404,1,1,0,5709,7,HP:0002684,0
HP:0002552,Trichodysplasia,442,8,1,0,5674,7,HP:0002162,0
HP:0009276,Contracture of the proximal interphalangeal joint of the 4th finger,173,6,1,0,5950,7,HP:0001208,0
HP:0011599,Mesocardia,265,5,1,0,5836,7,HP:0004700,0
HP:0003226,Rectilinear intracellular accumulation of autofluorescent lipopigment storage material,21,3,1,0,6299,7,HP:0002718,0
HP:0002439,Frontolimbic dementia,459,2,1,0,5662,7,HP:0002355,0
HP:0025492,Microcoria,176,5,1,0,5944,7,HP:0000614,0
HP:0000675,Macrodontia of permanent maxillary central incisor,110,13,1,0,6058,7,HP:0001567,0
HP:0100745,Abnormality of the humeroulnar joint,33,3,1,0,6255,7,HP:0006236,0
HP:0007603,Freckles in sun-exposed areas,407,4,1,0,5704,7,HP:0001005,0
HP:0006321,Multiple non-erupting secondary teeth,3,1,1,0,6448,7,HP:0006284,0
HP:0012021,Persistent patent ductus venosus,141,2,1,0,6005,7,HP:0006551,0
HP:0003411,Proximal femoral metaphyseal irregularity,322,7,1,0,5776,7,HP:0006361,0
HP:0500182,Hypotaurinemia,9,1,1,0,6380,7,HP:0011972,0
HP:0040307,Male sexual dysfunction,76921,8,0,0,7022,8,HP:0011948,0
HP:0000802,Impotence,43474,44,0,0,7417,8,HP:0000805,0
HP:0010818,Generalized tonic seizure,54809,53,0,0,7258,8,HP:0002069,0
HP:0010931,Abnormal blood sodium concentration,122111,1,0,0,6823,8,HP:0003075,0
HP:0010741,Pedal edema,44118,59,0,0,7410,8,HP:0004429,0
HP:0034252,Absent corneal reflex,62812,3,0,0,7137,8,HP:0000647,0
HP:0031035,Chronic infection,1270454,14,0,0,6537,8,HP:0004436,0
HP:0100801,Pancreatic aplasia,125642,7,0,0,6816,8,HP:0001736,0
HP:6000239,Elevated circulating tumor necrosis factor alpha concentration,70082,1,0,0,7072,8,HP:0003546,0
HP:0011421,Death in adolescence,224637,22,0,0,6666,8,HP:0003826,0
HP:0030886,Abnormal lymphocyte apoptosis,89850,1,0,0,6938,8,HP:0002854,0
HP:0100790,Hernia,93375,60,0,0,6922,8,HP:0002091,0
HP:0011876,Abnormal platelet volume,63949,2,0,0,7125,8,HP:0001873,0
HP:0012142,Pancreatic squamous cell carcinoma,115189,2,0,0,6842,8,HP:0006691,0
HP:0003454,Platelet antibody positive,218732,3,0,0,6671,8,HP:0004855,0
HP:0001700,Myocardial necrosis,512129,3,0,0,6579,8,HP:0001654,0
HP:0034308,Prolonged P wave,101115,2,0,0,6889,8,HP:0011708,0
HP:0003305,Block vertebrae,61477,8,0,0,7158,8,HP:0003301,0
HP:0011302,Long palm,71724,7,0,0,7058,8,HP:0001169,0
HP:0040223,Pulmonary hemorrhage,196209,12,0,0,6695,8,HP:0002105,0
HP:0040264,Jaw pain,43345,4,0,0,7419,8,HP:0000245,0
HP:0033399,Persistent fever,138113,2,0,0,6784,8,HP:0001955,0
HP:0012245,Sex reversal,76328,21,0,0,7026,8,HP:0012243,0
HP:0008011,Peripheral opacification of the cornea,0,1,1,0,6506,8,HP:0007754,0
HP:0033061,Increased factor IX activity,65270,1,0,0,7115,8,HP:0011901,0
HP:0012584,Bilateral renal hypoplasia,51050,7,0,0,7308,8,HP:0008673,0
HP:0040198,Non-medullary thyroid carcinoma,59092,5,0,0,7189,8,HP:0002891,0
HP:0033253,Reduced circulating interferon gamma concentration,50225,1,0,0,7319,8,HP:0003128,0
HP:0001009,Telangiectasia,47055,55,0,0,7370,8,HP:0001004,0
HP:0100027,Recurrent pancreatitis,82385,9,0,0,6984,8,HP:0001735,0
HP:0033247,Pulmonary amyloidosis,18508,1,0,0,8354,9,HP:0002092,0
HP:0011106,Hypovolemia,23166,17,0,0,8035,9,HP:0001945,0
HP:0011056,Agenesis of first permanent molar tooth,21606,1,0,0,8121,9,HP:0008070,0
HP:0002343,Normal pressure hydrocephalus,22863,7,0,0,8057,9,HP:0002601,0
HP:0032242,Cervical intraepithelial neoplasia,28356,1,0,0,7816,9,HP:0003011,0
HP:0005186,Synovial lining hyperplasia,36738,3,0,0,7567,9,HP:0005926,0
HP:0031086,Ectopic ovary,21659,1,0,0,8117,9,HP:0008674,0
HP:0100954,Open operculum,18502,5,0,0,8355,9,HP:0002681,0
HP:0005353,Recurrent herpes,36263,15,0,0,7581,9,HP:0001004,0
HP:0011368,Epidermal thickening,25082,3,0,0,7944,9,HP:0001010,0
HP:0100819,Intestinal fistula,30796,3,0,0,7730,9,HP:0002575,0
HP:0100648,Neoplasm of the tongue,30912,6,0,0,7723,9,HP:0002721,0
HP:0004387,Enterocolitis,39444,18,0,0,7493,9,HP:0002543,0
HP:0100295,Muscle fiber atrophy,36419,23,0,0,7577,9,HP:0003560,0
HP:0012158,Carotid artery dissection,34381,4,0,0,7624,9,HP:0002625,0
HP:0100773,Cartilage destruction,41794,5,0,0,7444,9,HP:0000921,0
HP:0034259,Hypoplasia of the midbrain,36267,1,0,0,7580,9,HP:0012089,0
HP:0011935,Decreased urinary urate,19504,6,0,0,8279,9,HP:0003147,0
HP:0012851,Colonic stenosis,25006,1,0,0,7947,9,HP:0002039,0
HP:0012133,Erythroid hypoplasia,26083,15,0,0,7903,9,HP:0001909,0
HP:0005187,Progressive joint destruction,28618,3,0,0,7803,9,HP:0009026,0
HP:0040044,Hypoplasia of the diaphragm,26878,2,0,0,7876,9,HP:0006558,0
HP:0410204,Increased intestinal transit time,36489,1,0,0,7575,9,HP:0002037,0
HP:0031456,Ectopic pregnancy,38015,1,0,0,7534,9,HP:0006974,0
HP:0032153,Joint subluxation,36960,12,0,0,7562,9,HP:0001384,0
HP:0100679,Lack of skin elasticity,18661,23,0,0,8343,9,HP:0000963,0
HP:0012250,ST segment depression,36133,8,0,0,7583,9,HP:0005173,0
HP:0005207,Gastric hypertrophy,36058,1,0,0,7586,9,HP:0002591,0
HP:0041068,Chronic decreased circulating IgG1,23163,1,0,0,8036,9,HP:0002728,0
HP:0007394,Prominent superficial blood vessels,19233,6,0,0,8299,9,HP:0001028,0
HP:0031817,Decreased circulating parathyroid hormone level,13637,10,0,0,8782,10,HP:0003155,0
HP:0005235,Jejunal atresia,9994,14,0,0,9282,10,HP:0005238,0
HP:0008715,Testicular dysgenesis,12115,7,0,0,8971,10,HP:0000026,0
HP:0012621,Persistent cloaca,10218,2,0,0,9233,10,HP:0002566,0
HP:0030848,Elevated jugular venous pressure,16327,12,0,0,8531,10,HP:0005911,0
HP:0040134,Abnormal hepatic iron concentration,16636,1,0,0,8509,10,HP:0002363,0
HP:0007980,Absent retinal pigment epithelium,11779,4,0,0,9010,10,HP:0008046,0
HP:0012698,Cerebellar gliosis,16691,4,0,0,8507,10,HP:0002509,0
HP:0011919,Pleural empyema,13092,8,0,0,8853,10,HP:0002204,0
HP:0500233,Increased CSF alanine concentration,11009,3,0,0,9115,10,HP:0012161,0
HP:0033310,Osmotic diarrhea,11969,1,0,0,8985,10,HP:0002032,0
HP:0003733,Thigh hypertrophy,10044,3,0,0,9273,10,HP:0001489,0
HP:0032670,Tonic status epilepticus,9987,1,0,0,9285,10,HP:0002197,0
HP:0007924,Slow decrease in visual acuity,12288,15,0,0,8955,10,HP:0001130,0
HP:0025148,Dark choroid,17929,1,0,0,8405,10,HP:0007908,0
HP:0030499,Macular drusen,10389,6,0,0,9204,10,HP:0001091,0
HP:0005222,Bowel diverticulosis,13607,1,0,0,8787,10,HP:0002258,0
HP:0010909,Abnormal circulating arginine concentration,12574,2,0,0,8916,10,HP:0003238,0
HP:0030409,Renal transitional cell carcinoma,14270,1,0,0,8705,10,HP:0006766,0
HP:3000043,Abnormal facial vein morphology,10737,1,0,0,9159,10,HP:0002666,0
HP:0030043,Hip subluxation,14883,30,0,0,8646,10,HP:0008803,0
HP:0002406,Limb dysmetria,16265,13,0,0,8537,10,HP:0002063,0
HP:0034588,Crypt hyperplasia,10743,1,0,0,9158,10,HP:0005151,0
HP:0011830,Abnormal oral mucosa morphology,18291,15,0,0,8375,10,HP:0000163,0
HP:0004345,Ganglioside accumulation,13272,4,0,0,8822,10,HP:0003330,0
HP:0004394,Multiple gastric polyps,15997,11,0,0,8558,10,HP:0004394,1
HP:0009050,Quadriceps muscle atrophy,13919,9,0,0,8731,10,HP:0003700,0
HP:0030095,Reduced muscle collagen VI,17418,3,0,0,8460,10,HP:0011804,0
HP:0009461,Short 3rd finger,16712,1,0,0,8503,10,HP:0004222,0
HP:0012473,Tongue atrophy,16962,25,0,0,8487,10,HP:0000221,0
HP:0005964,Intermittent hypothermia,8140,2,0,0,9618,11,HP:0003491,0
HP:0006433,Radial dysplasia,9069,2,0,0,9439,11,HP:0009810,0
HP:0010822,Scintillating scotoma,9872,2,0,0,9297,11,HP:0001123,0
HP:0030816,Gingival recession,7220,6,0,0,9846,11,HP:0000168,0
HP:0004510,Pancreatic islet-cell hyperplasia,9039,11,0,0,9442,11,HP:0008206,0
HP:0030235,Extremely elevated creatine kinase,7432,3,0,0,9794,11,HP:0003238,0
HP:0002530,Axial dystonia,6887,19,0,0,9932,11,HP:0002300,0
HP:0008191,Thyroid agenesis,6000,7,0,0,10152,11,HP:0008206,0
HP:0025416,Vaginal stricture,5905,2,0,0,10177,11,HP:0000143,0
HP:0004931,Arteriosclerosis of small cerebral arteries,7275,2,0,0,9835,11,HP:0007203,0
HP:0031468,Separation insecurity,9443,1,0,0,9367,11,HP:0100873,0
HP:0030914,Abnormal peristalsis,9746,2,0,0,9318,11,HP:0002574,0
HP:0012218,Alveolar soft part sarcoma,6085,1,0,0,10123,11,HP:0006739,0
HP:0010676,Mechanical ileus,9108,1,0,0,9432,11,HP:0002594,0
HP:0005950,Laryngeal web,9587,6,0,0,9346,11,HP:0001601,0
HP:0003166,Increased urinary taurine,6602,5,0,0,9997,11,HP:0011972,0
HP:0430074,Increased circulating beta-carotene concentration,5999,1,0,0,10153,11,HP:0011028,0
HP:0012230,Rhegmatogenous retinal detachment,5923,7,0,0,10170,11,HP:0001148,0
HP:0010997,Chromosomal breakage induced by ionizing radiation,5831,3,0,0,10200,11,HP:0001008,0
HP:0030416,Vulvar neoplasm,7207,2,0,0,9854,11,HP:0003002,0
HP:0031219,Reduced radioactive iodine uptake,9126,7,0,0,9425,11,HP:0000811,0
HP:0100960,Lateral ventricular asymmetry,6141,3,0,0,10115,11,HP:0002359,0
HP:0500253,Increased level of gamma-aminobutyric acid in urine,5843,1,0,0,10199,11,HP:0012003,0
HP:0012787,Recurrent pyelonephritis,8955,1,0,0,9455,11,HP:0004747,0
HP:0030410,Sebaceous gland carcinoma,6149,1,0,0,10111,11,HP:0001009,0
HP:0025028,Abnormal enteric nervous system morphology,6181,1,0,0,10103,11,HP:0004331,0
HP:0009714,Abnormal epididymis morphology,7165,2,0,0,9863,11,HP:0000073,0
HP:0030584,Color vision test abnormality,7093,3,0,0,9878,11,HP:0000556,0
HP:0025312,Esophoria,5816,8,0,0,10206,11,HP:0000486,0
HP:0012551,Absent neutrophil specific granules,8141,2,0,0,9617,11,HP:0001881,0
HP:0034681,Finger joint contracture,4106,5,0,0,10885,12,HP:0005974,0
HP:0012150,Single lineage myelodysplasia,3995,2,0,0,10938,12,HP:0005513,0
HP:0410400,Absent sebaceous glands,3962,1,0,0,10965,12,HP:0001018,0
