ID,AC,GN,protein_name,GO_F Count,GO_P Count,GO_C Count,go_counts,bin,normalized_protein,normalized_gene_name,Match_GN,pmc_GN,PMC_protein_name
ITPR1_HUMAN,Q14643,ITPR1,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR1 ",10,21,16,47,2,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR1",ITPR1,1,949,1
P3C2A_HUMAN,O00443,PIK3C2A,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,6,14,11,31,2,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,PIK3C2A,1,102,2
CFLAR_HUMAN,Q9UEW1,CFLAR,CASP8 and FADD-like apoptosis regulator subunit p12,6,36,5,47,2,CASP8 and FADD-like apoptosis regulator subunit p12,CFLAR,1,1179,2
AGAP2_HUMAN,Q99490,AGAP2,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2",9,6,8,23,3,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2",AGAP2,1,174,4
REQU_HUMAN,Q92785,DPF2,Zinc finger protein ubi-d4,4,13,8,25,3,Zinc finger protein ubi-d4,no appropriate match,0,59,5
GVIGQDGLLF,Q9NQT5,EXOSC3,Exosome complex component RRP40,2,16,9,27,3,Exosome complex component RRP40,EXOSC3,1,71,4
ATF3_HUMAN,P18847,ATF3,Cyclic AMP-dependent transcription factor ATF-3 ,11,12,6,29,3,Cyclic AMP-dependent transcription factor ATF-3,ATF3,1,2364,4
SLF1_HUMAN,Q9BQI6,SLF1,SMC5-SMC6 complex localization factor protein 1 ,2,9,9,20,3,SMC5-SMC6 complex localization factor protein 1,NSE1,0,41,4
TT21B_HUMAN,Q7Z4L5,TTC21B,Tetratricopeptide repeat protein 21B ,1,15,5,21,3,Tetratricopeptide repeat protein 21B,TTC21B,1,73,4
STAT1_HUMAN,P42224,STAT1,Signal transducer and activator of transcription 1-alpha/beta,20,44,12,76,3,Signal transducer and activator of transcription 1-alpha/beta,STAT1,1,12971,7
VPS4A_HUMAN,Q9UN37,VPS4A,Vacuolar protein sorting-associated protein 4A ,4,41,18,63,3,Vacuolar protein sorting-associated protein 4A,VPS4A,1,175,5
IFT52_HUMAN,Q9Y366,IFT52,Intraflagellar transport protein 52 homolog,0,12,10,22,3,Intraflagellar transport protein 52 homolog,IFT52,1,48,3
CLM8_HUMAN,Q9UGN4,CD300A,CMRF35-like molecule 8,3,17,5,25,3,CMRF35-like molecule 8,CD300LF,0,137,4
UB2D3_HUMAN,P61077,UBE2D3,Ubiquitin-conjugating enzyme E2 D3,5,15,7,27,4,Ubiquitin-conjugating enzyme E2 D3,UBE2D3,1,124,11
CHM4C_HUMAN,Q96CF2,CHMP4C,Charged multivesicular body protein 4c,1,26,14,41,4,Charged multivesicular body protein 4c,CHMP4C,1,75,9
RNF14_HUMAN,Q9UBS8,RNF14,E3 ubiquitin-protein ligase RNF14 ,6,13,6,25,4,E3 ubiquitin-protein ligase RNF14,RNF14,1,37,8
BAIP3_HUMAN,H3BVI3,BAIAP3,BAI1-associated protein 3 ,4,9,8,21,4,BAI1-associated protein 3,BAIAP3,1,20,12
BBS2_HUMAN,Q9BXC9,BBS2,Bardet-Biedl syndrome 2 protein ,1,24,10,35,4,Bardet-Biedl syndrome 2 protein,BBS2,1,182,8
RAP1A_HUMAN,P62834,RAP1A,Ras-related protein Rap-1A,7,16,16,39,4,Ras-related protein Rap-1A,RAP1A,1,580,12
ITCH_HUMAN,Q9BY75,ITCH,E3 ubiquitin-protein ligase Itchy homolog,8,31,12,51,4,E3 ubiquitin-protein ligase Itchy homolog,ITCH,1,33778,13
HXD3_HUMAN,P31249,HOXD3,Homeobox protein Hox-D3,5,12,5,22,4,Homeobox protein Hox-D3,HOXD3,1,125,10
DAAF4_HUMAN,Q8WXU2,DNAAF4,Dynein axonemal assembly factor 4 ,1,11,9,21,4,Dynein axonemal assembly factor 4,CCDC103,0,76,10
CASP9_HUMAN,Q9UIJ8,CASP9,Caspase-9 subunit p10,8,24,7,39,4,Caspase-9 subunit p10,CASP9,1,4182,11
BICD2_HUMAN,Q8TD16,BICD2,Protein bicaudal D homolog 2,5,11,7,23,5,Protein bicaudal D homolog 2,BICD2,1,181,14
SIN3A_HUMAN,Q96ST3,SIN3A,Paired amphipathic helix protein Sin3a,6,27,8,41,5,Paired amphipathic helix protein Sin3a,SIN3A,1,590,18
EOMES_HUMAN,O95936,EOMES,Eomesodermin homolog,7,26,3,36,5,Eomesodermin homolog,EOMES,1,1073,14
ACV1B_HUMAN,P36896,ACVR1B,Activin receptor type-1B,11,19,5,35,5,Activin receptor type-1B,ACVR1B,1,234,20
MAGI2_HUMAN,Q86UL8,MAGI2,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2",5,16,17,38,5,MAGI2,MAGI2,1,304,19
DTL_HUMAN,Q9NZJ0,DTL,Denticleless protein homolog,1,14,9,24,5,Denticleless protein homolog,DTL,1,691,23
RHG35_HUMAN,Q9NRY4,ARHGAP35,Rho GTPase-activating protein 35 ,5,23,5,33,5,Rho GTPase-activating protein 35,ARHGAP35,1,234,18
MTA70_HUMAN,Q86U44,METTL3,N6-adenosine-methyltransferase catalytic subunit ,6,24,7,37,5,N6-adenosine-methyltransferase catalytic subunit,METTL3,1,2329,16
ABCG2_HUMAN,Q8IX16,ABCG2,Broad substrate specificity ATP-binding cassette transporter ABCG2 ,13,12,7,32,5,Broad substrate specificity ATP-binding cassette transporter ABCG2,ABCG2,1,6255,22
LAT1_HUMAN,Q01650,SLC7A5,Large neutral amino acids transporter small subunit 1,9,33,12,54,5,Large neutral amino acids transporter small subunit 1,SLC7A5,1,958,20
DMAP1_HUMAN,Q9NPF5,DMAP1,DNA methyltransferase 1-associated protein 1,3,12,8,23,6,DNA methyltransferase 1-associated protein 1,DMAP1,1,160,28
WNT5B_HUMAN,Q9H1J7,WNT5B,Protein Wnt-5b,3,11,7,21,6,Protein Wnt-5b,WNT5B,1,339,33
CAN2_HUMAN,P17655,CAPN2,Calpain-2 catalytic subunit,6,18,18,42,6,Calpain-2 catalytic subunit,CAPN2,1,312,25
I27RA_HUMAN,Q6UWB1,IL27RA,Interleukin-27 receptor subunit alpha,3,14,3,20,6,Interleukin-27 receptor subunit alpha,IL27RA,1,229,28
TYOBP_HUMAN,O43914,TYROBP,TYRO protein tyrosine kinase-binding protein ,5,30,4,39,6,TYRO protein tyrosine kinase-binding protein,TYROBP,1,673,26
HIP1R_HUMAN,O75146,HIP1R,Huntingtin-interacting protein 1-related protein,13,21,17,51,6,Huntingtin-interacting protein 1-related protein,HIP1R,1,114,31
IL4RA_HUMAN,Q9H185,IL4R,Soluble interleukin-4 receptor subunit alpha,2,17,6,25,6,Soluble interleukin-4 receptor subunit alpha,IL4R,1,1309,36
NFIL3_HUMAN,Q16649,NFIL3,Nuclear factor interleukin-3-regulated protein,6,11,3,20,6,Nuclear factor interleukin-3-regulated protein,NFIL3,1,380,31
GGYF2_HUMAN,Q6Y7W6,GIGYF2,GRB10-interacting GYF protein 2 ,4,16,10,30,6,GRB10-interacting GYF protein 2,GIGYF2,1,100,35
PLSL_HUMAN,P13796,LCP1,Plastin-2,5,16,12,33,6,Plastin-2,LCP1,1,226,32
STML2_HUMAN,Q9UJZ1,STOML2,"Stomatin-like protein 2, mitochondrial",3,10,7,20,7,"Stomatin-like protein 2, mitochondrial",STOML2,1,110,44
MP2K2_HUMAN,P36507,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2,11,22,14,47,7,Dual specificity mitogen-activated protein kinase kinase 2,MAP2K2,1,829,50
ZPR1_HUMAN,O75312,ZPR1,Zinc finger protein ZPR1,4,22,11,37,7,Zinc finger protein ZPR1,ZNF259,0,113,42
LARP7_HUMAN,Q4G0J3,LARP7,La-related protein 7 ,4,12,5,21,7,La-related protein 7,LARP7,1,104,43
MUS81_HUMAN,Q96NY9,MUS81,Crossover junction endonuclease MUS81,5,9,7,21,7,Crossover junction endonuclease MUS81,MUS81,1,536,46
ANKH_HUMAN,Q9HCJ1,ANKH,Mineralization regulator ANKH ,3,15,4,22,7,Mineralization regulator ANKH,ANKH,1,227,46
BC11A_HUMAN,Q9NWA7,BCL11A,B-cell lymphoma/leukemia 11A ,10,17,8,35,7,B-cell lymphoma/leukemia 11A,BCL11A,1,777,49
CASC3_HUMAN,O15234,CASC3,Protein CASC3,5,6,10,21,7,CASC3,CASC3,1,55,47
HMGA1_HUMAN,P17096,HMGA1,High mobility group protein HMG-I/HMG-Y,20,9,7,36,7,High mobility group protein HMG-I/HMG-Y,HMGA1,1,1348,37
OPN3_HUMAN,Q9H1Y3,OPN3,Opsin-3,5,13,4,22,7,Opsin-3,OPN3,1,102,39
FA20C_HUMAN,Q8IXL6,FAM20C,Extracellular serine/threonine protein kinase FAM20C ,7,12,6,25,8,Extracellular serine/threonine protein kinase FAM20C,FAM20C,1,187,75
IKZF3_HUMAN,Q69BM3,IKZF3,Zinc finger protein Aiolos,10,9,4,23,8,Zinc finger protein Aiolos,IKZF3,1,358,54
SH2B2_HUMAN,O14492,SH2B2,SH2B adapter protein 2,4,11,6,21,8,SH2B adapter protein 2,SH2B2,1,61,69
PTHR_HUMAN,P12272,PTHLH,Osteostatin,2,14,6,22,8,Osteostatin,PTH,0,1448,54
NRG3_HUMAN,P56975,NRG3,Neuregulin-3,5,11,4,20,8,Neuregulin-3,NRG3,1,165,58
TNIK_HUMAN,Q9UKE1,TNIK,TRAF2 and NCK-interacting protein kinase,4,15,11,30,8,TRAF2 and NCK-interacting protein kinase,TNIK,1,159,74
AXIN1_HUMAN,SGKSASTEVP,AXIN1,Axin-1,14,30,13,57,8,Axin-1,AXIN1,1,666,70
CK5P2_HUMAN,Q9UIW9,CDK5RAP2,CDK5 regulatory subunit-associated protein 2,7,15,13,35,8,CDK5 regulatory subunit-associated protein 2,CDK5RAP2,1,179,53
SH3G2_HUMAN,Q99962,SH3GL2,Endophilin-A1,2,10,9,21,8,Endophilin-A1,SH3GL2,1,143,73
MCM9_HUMAN,Q9NXL9,MCM9,DNA helicase MCM9,10,7,4,21,8,DNA helicase MCM9,MCM9,1,81,56
EXOC4_HUMAN,Q96A65,EXOC4,Exocyst complex component 4,1,10,11,22,9,Exocyst complex component 4,EXOC4,1,88,79
CYDFLPIKAS,P14778,IL1R1,"Interleukin-1 receptor type 1, soluble form",8,10,4,22,9,"Interleukin-1 receptor type 1, soluble form",IL1R1,1,1258,88
APNLITVKKY,Q9Y5B0,CTDP1,RNA polymerase II subunit A C-terminal domain phosphatase,5,7,9,21,9,RNA polymerase II subunit A C-terminal domain phosphatase,CTDP1,1,29,101
NED4L_HUMAN,Q9H2W4,NEDD4L,E3 ubiquitin-protein ligase NEDD4-like,7,24,6,37,9,E3 ubiquitin-protein ligase NEDD4-like,NEDD4L,1,746,75
NPNT_HUMAN,E9PCQ1,NPNT,Nephronectin,2,16,6,24,9,Nephronectin,NPNT,1,100,105
AP2M1_HUMAN,Q96CW1,AP2M1,AP-2 complex subunit mu ,6,12,15,33,9,AP-2 complex subunit mu,AP2M1,1,60,104
GRID2_HUMAN,O43424,GRID2,"Glutamate receptor ionotropic, delta-2",5,15,7,27,9,"Glutamate receptor ionotropic, delta-2",GRID2,1,132,81
NMDE2_HUMAN,Q13224,GRIN2B,"Glutamate receptor ionotropic, NMDA 2B",8,20,13,41,9,"Glutamate receptor ionotropic, NMDA 2B",GRIN2B,1,580,93
CTNA2_HUMAN,Q53T71,CTNNA2,Catenin alpha-2,4,11,7,22,9,Catenin alpha-2,CTNNA2,1,104,96
CD24_HUMAN,P25063,CD24,Signal transducer CD24,2,26,5,33,9,CD24,CD24,1,4290,94
PALS1_HUMAN,Q8N3R9,PALS1,Protein PALS1 ,3,12,15,30,10,protein,MPP5,0,146,140
WASF1_HUMAN,Q92558,WASF1,Actin-binding protein WASF1 ,4,13,8,25,10,Actin-binding protein WASF1,WASF1,1,147,129
PKHD1_HUMAN,P08F94,PKHD1,Fibrocystin ,1,24,14,39,10,Fibrocystin,PKHD1,1,1604,139
CLUS_HUMAN,P10909,CLU,Clusterin alpha chain,10,43,22,75,10,Clusterin alpha chain,CLU,1,2486,124
FZD4_HUMAN,Q9ULV1,FZD4,Frizzled-4,12,29,6,47,10,Frizzled-4,FZD4,1,469,159
MICA_HUMAN,Q9UE06,MICA,MHC class I polypeptide-related sequence A,4,15,5,24,10,MHC class I polypeptide-related sequence A,MICA,1,6800,116
CP27B_HUMAN,O15528,CYP27B1,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",4,20,3,27,10,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",CYP27B1,1,2018,165
PAX8_HUMAN,Q06710,PAX8,Paired box protein Pax-8,8,36,3,47,10,Paired box protein Pax-8,PAX8,1,2284,130
ZBTB1_HUMAN,Q9Y2K1,ZBTB1,Zinc finger and BTB domain-containing protein 1,6,18,4,28,10,Zinc finger and BTB domain-containing protein 1,ZBTB1,1,28,138
UD18_HUMAN,Q9HAW9,UGT1A8,UDP-glucuronosyltransferase 1A8 ,8,14,2,24,10,UDP-glucuronosyltransferase 1A8,UGT1A8,1,296,145
PDE4B_HUMAN,Q07343,PDE4B,"3',5'-cyclic-AMP phosphodiesterase 4B ",7,15,11,33,11,"3',5'-cyclic-AMP phosphodiesterase 4B",PDE4B,1,663,221
UBR5_HUMAN,O95071,UBR5,E3 ubiquitin-protein ligase UBR5 ,5,17,8,30,11,E3 ubiquitin-protein ligase UBR5,UBR5,1,242,183
GLYM_HUMAN,P34897,SHMT2,"Serine hydroxymethyltransferase, mitochondrial",6,15,9,30,11,"Serine hydroxymethyltransferase, mitochondrial",SHMT2,1,242,240
BCAR1_HUMAN,F5GXV6,BCAR1,Breast cancer anti-estrogen resistance protein 1,2,23,8,33,11,Breast cancer anti-estrogen resistance protein 1,BCAR1,1,548,168
PRDM9_HUMAN,Q9NQV7,PRDM9,Histone-lysine N-methyltransferase PRDM9 ,11,11,3,25,11,Histone-lysine N-methyltransferase PRDM9,PRDM9,1,296,190
K2C1_HUMAN,P04264,KRT1,"Keratin, type II cytoskeletal 1",4,10,13,27,11,"Keratin, type II cytoskeletal 1",KRT1,1,348,227
GLRA1_HUMAN,P23415,GLRA1,Glycine receptor subunit alpha-1,9,22,14,45,11,Glycine receptor subunit alpha-1,GLRA1,1,163,206
SIR3_HUMAN,Q9NTG7,SIRT3,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial",7,9,5,21,11,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial",SIRT3,1,3209,229
SIX2_HUMAN,Q9NPC8,SIX2,Homeobox protein SIX2,6,24,3,33,11,Homeobox protein SIX2,SIX2,1,382,206
FBX7_HUMAN,Q9Y3I1,FBXO7,F-box only protein 7,6,15,13,34,11,F-box only protein 7,FBXO7,1,163,210
BIRC1_HUMAN,Q13075,NAIP,Baculoviral IAP repeat-containing protein 1,6,17,4,27,12,Baculoviral IAP repeat-containing protein 1,BIRC1,0,643,345
PO4F1_HUMAN,Q01851,POU4F1,"POU domain, class 4, transcription factor 1 ",10,35,6,51,12,"POU domain, class 4, transcription factor 1",POU4F1,1,266,324
SRSF1_HUMAN,Q07955,SRSF1,Serine/arginine-rich splicing factor 1 ,4,10,6,20,12,Serine/arginine-rich splicing factor 1,SRSF1,1,557,352
BSN_HUMAN,Q9UPA5,BSN,Protein bassoon ,3,7,15,25,12,protein,BSN,1,4239,311
MSHR_HUMAN,Q9UN59,MC1R,Melanocyte-stimulating hormone receptor,5,14,2,21,12,Melanocyte-stimulating hormone receptor,MC1R,1,1944,351
GBA1_HUMAN,Q9UMJ8,GBA1,Lysosomal acid glucosylceramidase ,6,51,6,63,12,Lysosomal acid glucosylceramidase,GBA,0,640,319
FOSL2_HUMAN,P15408,FOSL2,Fos-related antigen 2,6,46,4,56,12,Fos-related antigen 2,FOSL2,1,415,332
CRHBP_HUMAN,P24387,CRHBP,Corticotropin-releasing factor-binding protein,2,22,12,36,12,Corticotropin-releasing factor-binding protein,CRHBP,1,218,249
FOXE3_HUMAN,Q13461,FOXE3,Forkhead box protein E3,5,17,3,25,12,Forkhead box protein E3,FOXE3,1,133,310
ARPC2_HUMAN,O15144,ARPC2,Actin-related protein 2/3 complex subunit 2,2,6,13,21,12,Actin-related protein 2/3 complex subunit 2,ARPC2,1,97,345
PHEX_HUMAN,P78562,PHEX,Phosphate-regulating neutral endopeptidase PHEX,2,15,4,21,13,Phosphate-regulating neutral endopeptidase PHEX,PHEX,1,845,415
DREB_HUMAN,Q16643,DBN1,Drebrin,3,13,12,28,13,Drebrin,DBN1,1,54,450
MP2K3_HUMAN,P46734,MAP2K3,Dual specificity mitogen-activated protein kinase kinase 3,6,19,4,29,13,Dual specificity mitogen-activated protein kinase kinase 3,MAP2K3,1,375,466
KCNK2_HUMAN,Q9UNE3,KCNK2,Potassium channel subfamily K member 2,3,12,9,24,13,Potassium channel subfamily K member 2,KCNK2,1,106,459
BMP1_HUMAN,Q99423,BMP1,Bone morphogenetic protein 1,9,9,4,22,13,Bone morphogenetic protein 1,BMP1,1,670,455
CD22_HUMAN,Q92872,CD22,B-cell receptor CD22 ,6,8,9,23,13,B-cell receptor CD22,CD22,1,2924,523
DRD4_HUMAN,P21917,DRD4,D(4) dopamine receptor,12,27,6,45,13,D(4) dopamine receptor,DRD4,1,1980,478
IGF1R_HUMAN,P08069,IGF1R,Insulin-like growth factor 1 receptor beta chain,14,52,11,77,13,Insulin-like growth factor 1 receptor beta chain,IGF1R,1,10308,373
S29A4_HUMAN,Q7RTT9,SLC29A4,Equilibrative nucleoside transporter 4 ,9,21,4,34,13,Equilibrative nucleoside transporter 4,SLC29A4,1,69,516
NH2L1_HUMAN,P55769,SNU13,"NHP2-like protein 1, N-terminally processed",6,5,11,22,13,"NHP2-like protein 1, N-terminally processed",NHP2,0,60,396
KCNK1_HUMAN,O00180,KCNK1,Potassium channel subfamily K member 1,6,6,12,24,14,Potassium channel subfamily K member 1,KCNK1,1,114,605
RHOA_HUMAN,P61586,RHOA,Transforming protein RhoA ,5,73,21,99,14,Transforming protein RhoA,RHOA,1,13173,566
PIN1_HUMAN,Q13526,PIN1,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,11,24,9,44,14,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,PIN1,1,2236,614
PLEC_HUMAN,Q6S382,PLEC,Plectin,7,33,17,57,14,Plectin,PLEC,1,559,725
NDRG1_HUMAN,Q92597,NDRG1,Protein NDRG1,4,7,11,22,14,Protein NDRG1,NDRG1,1,796,651
BEST1_HUMAN,O76090,BEST1,Bestrophin-1 ,6,10,8,24,14,Bestrophin-1,BEST1,1,609,545
XCT_HUMAN,Q9UPY5,SLC7A11,Cystine/glutamate transporter ,3,34,7,44,14,Cystine/glutamate transporter,SLC7A11,1,2359,564
HNRPK_HUMAN,P61978,HNRNPK,Heterogeneous nuclear ribonucleoprotein K,6,13,12,31,14,Heterogeneous nuclear ribonucleoprotein K,HNRNPK,1,444,569
SFRP1_HUMAN,Q8N474,SFRP1,Secreted frizzled-related protein 1,5,84,7,96,14,Secreted frizzled-related protein 1,SFRP1,1,1238,695
SMC6_HUMAN,Q96SB8,SMC6,Structural maintenance of chromosomes protein 6,6,9,11,26,14,Structural maintenance of chromosomes protein 6,SMC6,1,235,692
FAF1_HUMAN,Q9UNN5,FAF1,FAS-associated factor 1,7,11,9,27,15,FAS-associated factor 1,FAF1,1,188,882
FOXA1_HUMAN,P55317,FOXA1,Hepatocyte nuclear factor 3-alpha,9,33,5,47,15,Hepatocyte nuclear factor 3-alpha,FOXA1,1,1645,938
PALLD_HUMAN,Q9UQF5,PALLD,Palladin,3,8,15,26,15,Palladin,PALLD,1,131,1042
EFNB2_HUMAN,P52799,EFNB2,Ephrin-B2,2,22,7,31,15,Ephrin-B2,EFNB2,1,300,1058
ARF6_HUMAN,P62330,ARF6,ADP-ribosylation factor 6 ,6,35,18,59,15,ADP-ribosylation factor 6,ARF6,1,1247,818
ANO1_HUMAN,Q5XXA6,ANO1,Anoctamin-1,9,12,7,28,15,Anoctamin-1,ANO1,1,990,912
NOD2_HUMAN,Q9HC29,NOD2,Nucleotide-binding oligomerization domain-containing protein 2 ,13,79,12,104,15,Nucleotide-binding oligomerization domain-containing protein 2,NOD2,1,3933,897
GSH1_HUMAN,P48506,GCLC,Glutamate--cysteine ligase catalytic subunit ,6,33,3,42,15,Glutamate--cysteine ligase catalytic subunit,GCLC,1,1530,788
S12A5_HUMAN,Q9H2X9,SLC12A5,Solute carrier family 12 member 5,5,15,8,28,15,Solute carrier family 12 member 5,SLC12A5,1,166,1036
NCOA1_HUMAN,Q7KYV3,NCOA1,Nuclear receptor coactivator 1,9,26,7,42,15,Nuclear receptor coactivator 1,NCOA1,1,835,936
SRY_HUMAN,Q05066,SRY,Sex-determining region Y protein ,6,9,5,20,16,Sex-determining region Y protein,SRY,1,5485,1232
RADI_HUMAN,P35241,RDX,Radixin,6,25,17,48,16,Radixin,RDX,1,1594,1559
RAD50_HUMAN,Q92878,RAD50,DNA repair protein RAD50,10,22,9,41,16,DNA repair protein RAD50,RAD50,1,2054,1454
CH3L1_HUMAN,P36222,CHI3L1,Chitinase-3-like protein 1,3,17,8,28,16,Chitinase-3-like protein 1,CHI3L1,1,1748,1646
ARBK1_HUMAN,P25098,GRK2,Beta-adrenergic receptor kinase 1,7,15,7,29,16,Beta-adrenergic receptor kinase 1,ADRBK1,0,1525,1238
STAT4_HUMAN,Q14765,STAT4,Signal transducer and activator of transcription 4,4,10,6,20,16,Signal transducer and activator of transcription 4,STAT4,1,1973,1367
DISC1_HUMAN,C9J6D0,DISC1,Disrupted in schizophrenia 1 protein ,4,25,17,46,16,Disrupted in schizophrenia 1 protein,DISC1,1,1074,1398
B2CL1_HUMAN,Q07817,BCL2L1,Bcl-2-like protein 1,4,45,11,60,16,Bcl-2-like protein 1,BCL2L1,1,8652,1300
SMC2_HUMAN,O95347,SMC2,Structural maintenance of chromosomes protein 2,4,8,11,23,16,Structural maintenance of chromosomes protein 2,SMC2,1,204,1219
NOTC1_HUMAN,P46531,NOTCH1,Notch 1 intracellular domain,11,159,14,184,16,Notch 1 intracellular domain,NOTCH1,1,9658,1314
CI072_HUMAN,Q96LT7,C9orf72,Guanine nucleotide exchange factor C9orf72 ,2,15,19,36,17,Guanine nucleotide exchange factor C9orf72,C9orf72,1,2785,2198
ARGI1_HUMAN,P05089,ARG1,Arginase-1,2,11,7,20,17,Arginase-1,ARG1,1,3813,2397
TRAF6_HUMAN,Q9Y4K3,TRAF6,TNF receptor-associated factor 6,9,57,12,78,17,TNF receptor-associated factor 6,TRAF6,1,3999,2370
CDX2_HUMAN,Q99626,CDX2,Homeobox protein CDX-2,7,17,5,29,17,Homeobox protein CDX-2,CDX2,1,3542,1838
IL23R_HUMAN,Q8IW84,IL23R,Interleukin-23 receptor,2,25,4,31,17,Interleukin-23 receptor,IL23R,1,1342,2232
DAF_HUMAN,Q14UF4,CD55,Complement decay-accelerating factor,2,11,11,24,17,Complement decay-accelerating factor,CD55,1,2600,2264
CALX_HUMAN,P27824,CANX,Calnexin,4,7,12,23,17,Calnexin,CANX,1,133,1847
A2AP_HUMAN,P08697,SERPINF2,Alpha-2-antiplasmin,4,17,8,29,17,Alpha-2-antiplasmin,SERPINF2,1,73,2552
AQP2_HUMAN,P41181,AQP2,Aquaporin-2,3,10,10,23,17,Aquaporin-2,AQP2,1,2032,2151
KCNH2_HUMAN,Q9H3P0,KCNH2,Potassium voltage-gated channel subfamily H member 2,11,24,3,38,17,Potassium voltage-gated channel subfamily H member 2,KCNH2,1,2106,2144
FURIN_HUMAN,P09958,FURIN,Furin ,11,30,11,52,18,Furin,FURIN,1,3977,3977
NR1H2_HUMAN,P55055,NR1H2,Oxysterols receptor LXR-beta,10,28,6,44,18,Oxysterols receptor LXR-beta,NR1H2,1,150,3527
ADCY5_HUMAN,AVQVVGLLLP,ADCY5,Adenylate cyclase type 5,5,12,3,20,18,Adenylate cyclase type 5,ADCY5,1,239,2633
ADCY3_HUMAN,O60266,ADCY3,Adenylate cyclase type 3,4,10,6,20,18,Adenylate cyclase type 3,ADCY3,1,163,3022
TBB5_HUMAN,P07437,TUBB,Tubulin beta chain,10,9,16,35,18,Tubulin beta chain,TUBB,1,404,3539
AT2B4_HUMAN,P23634,ATP2B4,Plasma membrane calcium-transporting ATPase 4 ,13,35,13,61,18,Plasma membrane calcium-transporting ATPase 4,ATP2B4,1,130,2824
