hpo_id,hpo_term,hpo_parent,hpo_term_pmc,hpo_annotations,hpo_id_pmc,normalized_term,normalized_id,hpo_match,bin
HP:6000998,Liver rupture,HP:0410042,80535.0,0.0,0.0,Liver rupture,HP:0002578,0.0,3
HP:0550003,Proximal scleroderma,HP:0100324,5915.0,0.0,0.0,Scleroderma,HP:0100863,0.0,3
HP:0033041,Cytokine storm,HP:0011113,217705.0,0.0,0.0,Cytokine storm,HP:0034153,0.0,3
HP:6000143,Appendicitis,HP:0002250,42369.0,0.0,0.0,Appendicitis,HP:0002653,0.0,3
HP:0012388,Acute bronchitis,HP:0012387,62886.0,0.0,0.0,no appropriate match,HP:0000000,0.0,3
HP:6000233,Carcinoid tumor of the pancreas,HP:0002894,6315.0,0.0,0.0,no appropriate match,HP:0000000,0.0,3
HP:5200018,Steroetypic upper-extremity movements,HP:0000733,67347.0,0.0,0.0,Stereotypic hand movements,HP:0007359,0.0,3
HP:0041072,Chronic decreased circulating IgG3,HP:0032137,14279.0,0.0,0.0,IgG3 deficiency,HP:0003490,0.0,3
HP:6000068,Ameliorated by nerve block,HP:0025254,7972.0,0.0,0.0,no appropriate match,HP:0000000,0.0,3
HP:6000524,Abnormal urinary bile acid level,HP:0031980,8311.0,0.0,0.0,Abnormality of bile acid metabolism,HP:0012439,0.0,3
HP:0033269,Glomerular capillary collapse,HP:0033267,9534.0,0.0,0.0,Glomerular capillary collapse,HP:0000090,0.0,4
HP:0033521,Nasal dryness,HP:0000433,9791.0,0.0,0.0,Dry nose,HP:0010795,0.0,4
HP:0034409,Fordyce angiokeratoma,HP:0001014,93.0,0.0,0.0,no appropriate match,HP:0000000,0.0,4
HP:0009550,Osteolytic defects of the phalanges of the 2nd finger,HP:0009771|HP:0009541,29.0,0.0,0.0,Osteolytic defects of the phalanges of the hand,HP:0009770,0.0,4
HP:0033514,Addictive amphetamine use,HP:0033512,12263.0,0.0,0.0,Substance abuse,HP:0031006,0.0,4
HP:0009307,Patchy sclerosis of the middle phalanx of the 4th finger,HP:0100906|HP:0009848|HP:0009406|HP:0009283,36.0,0.0,0.0,no appropriate match,HP:0000000,0.0,4
HP:0012485,Abnormal surface-connected open canalicular system,HP:0011875,33.0,0.0,0.0,no appropriate match,HP:0000000,0.0,4
HP:0032912,Focal aware manual automatism seizure,HP:0032910|HP:0032900,55.0,0.0,0.0,Focal aware seizure,HP:0025173,0.0,4
HP:0009304,Patchy sclerosis of the distal phalanx of the 4th finger,HP:0100902|HP:0009840|HP:0009406|HP:0009282,35.0,0.0,0.0,no appropriate match,HP:0000000,0.0,4
HP:0034594,Elevated circulating dihydrothymine concentration,HP:0004353,32.0,0.0,0.0,no appropriate match,HP:0000000,0.0,4
HP:0100117,Ivory epiphysis of the middle phalanx of the 2nd toe,HP:0100089|HP:0100050,5.0,0.0,0.0,no appropriate match,HP:0000000,0.0,5
HP:0033963,Abnormal interlobular vein intima/media morphology,HP:0033854,1.0,0.0,0.0,Abnormality of the interlobular veins,HP:0012721,0.0,5
HP:3000071,Abnormality of levator labii superioris,HP:0430019,13.0,0.0,0.0,no appropriate match,HP:0000000,0.0,5
HP:0100687,Polyotia,HP:0000377,23.0,0.0,0.0,Polyotia,HP:0010723,0.0,5
HP:0100126,Fragmentation of the epiphysis of the proximal phalanx of the 2nd toe,HP:0100048|HP:0100090,26.0,0.0,0.0,no appropriate match,HP:0000000,0.0,5
HP:0033961,Cortical radial artery intima/media multilamellation,HP:0033888,0.0,0.0,0.0,no appropriate match,HP:0000000,0.0,5
HP:0033969,Interlobular vein intima/media necrosis,HP:0033963,1.0,0.0,0.0,no appropriate match,HP:0000000,0.0,5
HP:0009851,Aplasia/Hypoplasia of the proximal phalanges of the hand,HP:0009767|HP:0009834,0.0,0.0,0.0,Aplasia/Hypoplasia of the proximal phalanges of the hand,HP:0009842,0.0,5
HP:6001106,Exposure to repetive hand impact,HP:4000110,8.0,0.0,0.0,no appropriate match,HP:0000000,0.0,5
HP:0100092,Abnormality of the epiphysis of the middle phalanx of the 3rd toe,HP:0010329,77.0,0.0,0.0,Abnormality of the epiphysis of the phalanges of the toes,HP:0010235,0.0,5
HP:0031672,Reverse typical atrial flutter,HP:0004749,944.0,0.0,0.0,Atrial flutter,HP:0001712,0.0,6
HP:0010204,Broad proximal phalanx of toe,HP:0010184|HP:0010174,941.0,0.0,0.0,Broad proximal phalanx of the toe,HP:0010109,0.0,6
HP:6000924,Positive CSF Toxoplasma gondii antibody positivity,HP:0430139,556.0,0.0,0.0,no appropriate match,HP:0000000,0.0,6
HP:0100908,Sclerosis of the proximal phalanx of the 2nd finger,HP:0100917|HP:0100918,186.0,0.0,0.0,Sclerosis of the phalanges of the hand,HP:0009767,0.0,6
HP:0011678,Tetralogy of Fallot with pulmonary atresia and major aortopulmonary collateral arteries,HP:0012516,547.0,0.0,0.0,Tetralogy of Fallot with pulmonary atresia,HP:0012721,0.0,6
HP:5200072,Immediate Echolalia,HP:0010529,487.0,0.0,0.0,Echolalia,HP:0002479,0.0,6
HP:6000685,Mitral opening snap,HP:0031657,853.0,0.0,0.0,Mitral valve opening snap,HP:0031880,0.0,6
HP:0025786,Intraosseous lipoma,HP:0012032,523.0,0.0,0.0,no appropriate match,HP:0000000,0.0,6
HP:0025760,Immobile lump,HP:0025758,446.0,0.0,0.0,Subcutaneous nodule,HP:0001482,0.0,6
HP:0100913,Sclerosis of the proximal phalanx of the thumb,HP:0100922|HP:0100916,355.0,0.0,0.0,Sclerosis of the proximal phalanx of the thumb,HP:0000000,0.0,6
HP:0009384,Cone-shaped epiphyses of the 5th finger,HP:0010230|HP:0009152,73.0,0.0,1.0,Cone-shaped epiphysis of the 5th finger,HP:0006166,0.0,7
HP:6000434,Elevated urinary isovaleric acid level,HP:0001992,262.0,0.0,0.0,Increased urinary isovaleric acid,HP:0012722,0.0,7
HP:0010201,Triangular shaped middle phalanges of the toes,HP:0010183|HP:0010180,204.0,0.0,1.0,Triangular shaped middle phalanges,HP:0010104,0.0,7
HP:0011549,Univentricular heart with absent left sided atrioventricular connection,HP:0011547,141.0,0.0,0.0,Univentricular heart,HP:0001627,0.0,7
HP:0009678,Enlarged epiphysis of the distal phalanx of the thumb,HP:0009662|HP:0009689|HP:0010249,138.0,0.0,1.0,Broad distal phalanx of the thumb,HP:0009650,0.0,7
HP:0032742,Focal aware emotional seizure with pleasure,HP:0032734|HP:0032729,246.0,0.0,0.0,Focal emotional seizure,HP:0020215,0.0,7
HP:0030482,Abnormal timing of light-adapted single flash electroretinogram,HP:0030472,197.0,0.0,1.0,Abnormal light-adapted electroretinogram,HP:0008323,0.0,7
HP:0011666,Absent right superior vena cava,HP:0005301,6345.0,0.0,1.0,Absent superior vena cava,HP:0010306,0.0,7
HP:0010330,Abnormality of the phalanges of the 3rd toe,HP:0010161|HP:0010320,270.0,0.0,0.0,Abnormality of the phalanges of the toes,HP:0010189,0.0,7
HP:0041239,Fractured manual digit 1 phalanx,HP:0001172|HP:0041241,208.0,0.0,0.0,Fracture of the phalanx of the thumb,HP:0009603,0.0,7
HP:0032873,Focal aware sensory seizure with cephalic sensation,HP:0032810|HP:0032754,114.0,0.0,1.0,Focal aware sensory seizure,HP:0020218,0.0,8
HP:0030286,Atrophic superior cerebellar peduncle,HP:0011932,2278.0,0.0,3.0,Atrophy of the superior cerebellar peduncle,HP:0006801,0.0,8
HP:4000068,Abnormal interest,HP:0000708,881782.0,0.0,0.0,Obsessive compulsive behavior,HP:0000722,0.0,8
HP:0009169,Broad middle phalanx of the 5th finger,HP:0009844|HP:0009374|HP:0004219,431.0,0.0,1.0,Broad middle phalanx of the 5th finger,HP:0004099,0.0,8
HP:0009128,Aplasia/Hypoplasia involving the musculature of the extremities,HP:0009127|HP:0001460,5.0,0.0,1.0,Aplasia/Hypoplasia involving the musculature of the extremities,HP:0001430,0.0,8
HP:0009825,Aplasia involving bones of the extremities,HP:0045060,4071.0,0.0,1.0,Aplasia of the extremities,HP:0009826,0.0,8
HP:0006166,Tubular metacarpal bones,HP:0005916,772.0,0.0,2.0,Tubular bones of the hand,HP:0009692,0.0,8
HP:0030308,Flared distal tibial metaphysis,HP:0030307,75.0,0.0,3.0,Flared metaphysis,HP:0003015,0.0,8
HP:0030305,Decreased number of vertebrae,HP:0030304,136485.0,0.0,1.0,Reduced number of vertebrae,HP:0008479,0.0,8
HP:0020173,Reduced drug efficacy,HP:0020169,876793.0,0.0,0.0,no appropriate match,HP:0000000,0.0,8
HP:0011569,Cleft anterior mitral valve leaflet,HP:0031480,673.0,1.0,0.0,Cleft mitral valve,HP:0001634,0.0,9
HP:0009970,Partial duplication of the proximal phalanx of the 3rd finger,HP:0009961|HP:0009964|HP:0010003,104.0,1.0,0.0,Partial duplication of the phalanges of the hand,HP:0010296,0.0,9
HP:0005336,Forehead hyperpigmentation,HP:0007400|HP:0000290,1871.0,1.0,0.0,Facial hyperpigmentation,HP:0007501,0.0,9
HP:0032900,Focal manual automatism seizure,HP:0032898,95.0,1.0,0.0,Focal emotional seizure with manual automatisms,HP:0020219,0.0,9
HP:0025164,Increased number of elastic fibers in the dermis,HP:0025082,6517.0,1.0,0.0,no appropriate match,HP:0000000,0.0,9
HP:0012454,Unilateral wrist flexion contracture,HP:0001239,674.0,1.0,0.0,Wrist flexion contracture,HP:0002987,0.0,9
HP:0025174,Irregular septal thickening on pulmonary HRCT,HP:0030879,589.0,1.0,0.0,Abnormality of the pulmonary interstitium,HP:0006530,0.0,9
HP:6000556,Reduced circulating dopamine beta-hydroxylase activity,HP:0012379,5219.0,1.0,0.0,Reduced circulating dopamine beta-hydroxylase activity,HP:0011987,0.0,9
HP:0011210,EEG with occipital slowing,HP:0010843,4885.0,1.0,1.0,Occipital EEG slowing,HP:0025337,0.0,9
HP:0100695,Lipedema,HP:0009126,626.0,1.0,0.0,Lipedema,HP:0031179,0.0,9
HP:0020128,Aplasia of the olfactory tract,HP:0100547,19361.0,1.0,0.0,Aplasia of the olfactory tract,HP:0010937,0.0,10
HP:0012535,Abnormal synaptic transmission,HP:0012638,61009.0,1.0,2.0,Abnormal synaptic transmission,HP:0012638,0.0,10
HP:0100674,Vaginal hematocele,HP:0000045,388.0,1.0,0.0,no appropriate match,HP:0000000,0.0,10
HP:0100706,Abnormal oligodendroglia morphology,HP:0100705,3792.0,1.0,0.0,Abnormal oligodendrocyte morphology,HP:0002510,0.0,10
HP:0008272,Renal tubular lysine transport defect,HP:0000124,1556.0,1.0,0.0,Renal tubular aminoaciduria,HP:0003355,0.0,10
HP:0007822,Central retinal exudate,HP:0001147,3529.0,1.0,0.0,no appropriate match,HP:0000000,0.0,10
HP:0033504,Elevated circulating fumarate concentration,HP:0010995,3776.0,1.0,0.0,Elevated circulating fumarate level,HP:0012126,0.0,10
HP:0033984,"Increased urinary 8-oxo-7,8-dihydroguanosine level",HP:0033161,476.0,1.0,0.0,no appropriate match,HP:0000000,0.0,10
HP:0030380,Decreased proportion of transitional B cells,HP:0030379,2152.0,1.0,0.0,Decreased proportion of transitional B cells,HP:0000000,0.0,10
HP:0008318,Elevated leukocyte alkaline phosphatase,HP:0003155,20065.0,1.0,0.0,Increased leukocyte alkaline phosphatase,HP:0031800,0.0,10
HP:0034210,Fetal intraventricular hemorrhage,HP:0034208,9665.0,1.0,0.0,Fetal intracranial hemorrhage,HP:0011434,0.0,11
HP:0004962,Thoracic aorta calcification,HP:0004963,11475.0,1.0,0.0,Aortic valve calcification,HP:0004429,0.0,11
HP:0012289,Facial neoplasm,HP:0012288,28709.0,1.0,0.0,Facial neoplasm,HP:0012280,0.0,11
HP:0003941,Stippled calcification of the elbow,HP:0009811,55.0,1.0,1.0,no appropriate match,HP:0000000,0.0,11
HP:0006514,Intraalveolar nodular calcifications,HP:0033137|HP:0010766,31.0,1.0,0.0,no appropriate match,HP:0000000,0.0,11
HP:0030297,Metaphyseal chondromatosis of ulna,HP:0005868,19.0,1.0,1.0,no appropriate match,HP:0000000,0.0,11
HP:0010270,Cone-shaped epiphyses of the proximal phalanges of the hand,HP:0010230|HP:0010245,54.0,1.0,0.0,Cone-shaped epiphyses of the phalanges of the hand,HP:0010230,0.0,11
HP:0031164,Growth arrest lines,HP:0031367,233282.0,1.0,0.0,Metaphyseal growth arrest lines,HP:0000944,0.0,11
HP:0031326,Monoclonal light chain cardiac amyloidosis,HP:0030843,4113.0,1.0,7.0,Monoclonal immunoglobulin light chain amyloidosis,HP:0011034,0.0,11
HP:0033442,Elevated circulating glutarylcarnitine concentration,HP:0035019,60.0,1.0,0.0,Elevated circulating glutarylcarnitine concentration,HP:0010966,0.0,11
HP:0004470,Atretic occipital cephalocele,HP:0011815,77.0,2.0,1.0,Occipital encephalocele,HP:0002084,0.0,12
HP:0011491,Reduced number of corneal endothelial cells,HP:0011488,30208.0,2.0,0.0,Decreased corneal endothelial cell density,HP:0007897,0.0,12
HP:0003859,Cortical diaphyseal thickening of the upper limbs,HP:0009808,284.0,2.0,0.0,Cortical thickening,HP:0000935,0.0,12
HP:0009565,Aplasia of the distal phalanx of the 2nd finger,HP:0009881|HP:0009557|HP:0009535,0.0,2.0,0.0,Aplasia of the distal phalanx of the 2nd finger,HP:0009839,0.0,12
HP:0006344,Abnormal primary molar morphology,HP:0011070|HP:0006481,10335.0,2.0,1.0,Abnormal primary molar morphology,HP:0011073,0.0,12
HP:3000077,Abnormal mandible condylar process morphology,HP:0000277|HP:0031816,1642.0,2.0,0.0,Abnormality of the mandibular condyle,HP:0005504,0.0,12
HP:0030921,5-minute APGAR score of 1,HP:0030919,2668.0,2.0,0.0,Low 5-minute Apgar score,HP:0034323,0.0,12
HP:0011812,Agraphesthesia,HP:0011730,77.0,2.0,0.0,Agraphesthesia,HP:0010522,0.0,12
HP:0012271,Episodic upper airway obstruction,HP:0002781,2040.0,2.0,0.0,Intermittent upper airway obstruction,HP:0010323,0.0,12
HP:0006011,Cuboidal metacarpal,HP:0010049,97.0,2.0,1.0,Abnormality of the metacarpal bones,HP:0010049,0.0,12
HP:0006129,Drumstick terminal phalanges,HP:0009832,42.0,3.0,0.0,Brachydactyly,HP:0001156,0.0,13
HP:0011433,High maternal circulating chorionic gonadotropin concentration,HP:0011436,2470.0,3.0,1.0,no appropriate match,HP:0000000,0.0,13
HP:0032404,Testicular mass,HP:0000035,57343.0,2.0,0.0,Testicular mass,HP:0100787,0.0,13
HP:0007993,Malformed lacrimal duct,HP:0011481,140.0,2.0,0.0,Abnormality of the lacrimal duct,HP:0000563,0.0,13
HP:0030055,Hyperconvex toenail,HP:0001795,117.0,2.0,4.0,no appropriate match,HP:0000000,0.0,13
HP:0010451,Aplasia/Hypoplasia of the spleen,HP:0025408,42.0,2.0,3.0,Aplasia/Hypoplasia of the spleen,HP:0010451,1.0,13
HP:0031166,Eyelid myokymia,HP:0002411,188.0,2.0,0.0,Eyelid myokymia,HP:0031831,0.0,13
HP:0034298,Elevated circulating hexacosanoic acid concentration,HP:0010966,32.0,2.0,0.0,no appropriate match,HP:0000000,0.0,13
HP:0009780,Iliac horns,HP:0003796,1086.0,2.0,0.0,Iliac horns,HP:0000973,0.0,13
HP:0008777,Abnormal vocal cord morphology,HP:0025423,2211.0,3.0,1.0,Abnormality of the vocal cords,HP:0001608,0.0,13
HP:0010583,Ivory epiphyses,HP:0005930,144.0,3.0,0.0,Ivory epiphyses,HP:0005930,0.0,14
HP:6000333,Reduced hepatic phosphorylase kinase activity,HP:0034685,3934.0,3.0,0.0,Abnormality of hepatic phosphorylase kinase activity,HP:0006560,0.0,14
HP:0012014,EEG with central focal spikes,HP:0033718|HP:0011193,5459.0,3.0,0.0,Focal motor seizures with central spikes,HP:0011153,0.0,14
HP:0031323,Myocardial eosinophilic infiltration,HP:0031321,4622.0,3.0,6.0,Eosinophilic myocarditis,HP:0001889,0.0,14
HP:0005458,Premature closure of fontanelles,HP:0011328,261.0,3.0,0.0,Premature closure of fontanelles,HP:0000238,0.0,14
HP:0011445,Athetoid cerebral palsy,HP:0002071|HP:0100021,77488.0,4.0,0.0,Athetoid cerebral palsy,HP:0002466,0.0,14
HP:0003634,Amyoplasia,HP:0100854,253.0,3.0,0.0,Amyoplasia,HP:0003560,0.0,14
HP:0001501,6 metacarpals,HP:0005917,11662.0,3.0,16.0,Polydactyly,HP:0010442,0.0,14
HP:0031041,Obstruction of the superior vena cava,HP:0025575,24526.0,3.0,0.0,Superior vena cava obstruction,HP:0012726,0.0,14
HP:0100847,Palmoplantar pustulosis,HP:0200039|HP:0011356,99977.0,4.0,1.0,Palmoplantar pustulosis,HP:0032131,0.0,14
HP:0100925,Sclerosis of foot bone,HP:0011001,10358.0,4.0,0.0,Sclerosis of the foot bones,HP:0100773,0.0,15
HP:0032977,Elevated bronchoalveolar lavage fluid neutrophil proportion,HP:0032974,5857.0,4.0,0.0,Increased bronchoalveolar lavage fluid neutrophil count,HP:0031971,0.0,15
HP:0012692,Focal T2 hyperintense thalamic lesion,HP:0012696,2488.0,5.0,0.0,Thalamic lesion,HP:0012049,0.0,15
HP:0011103,Abnormal left ventricular outflow tract morphology,HP:0001711,7322.0,4.0,0.0,Abnormality of the left ventricular outflow tract,HP:0011100,0.0,15
HP:0010750,Dermatochalasis,HP:0000492,2453.0,5.0,0.0,Dermatochalasis,HP:0001085,0.0,15
HP:0007988,Macular hypopigmentation,HP:0008002,1536.0,4.0,0.0,Macular hypopigmentation,HP:0008002,0.0,15
HP:0011230,Laterally extended eyebrow,HP:0000534,559.0,5.0,0.0,Laterally extended eyebrows,HP:0002553,0.0,15
HP:0009884,Tapered distal phalanges of finger,HP:0009832,209.0,5.0,0.0,Tapered distal phalanges,HP:0009833,0.0,15
HP:0025358,Uveal ectropion,HP:0000525,565.0,6.0,0.0,Ectropion of the uveal pigment epithelium,HP:0007910,0.0,15
HP:0410017,Otitis externa,HP:0000372,4567.0,5.0,0.0,Otitis externa,HP:0000564,0.0,15
HP:0025238,Foot pain,HP:0012514,127369.0,8.0,1.0,Foot pain,HP:0012531,0.0,16
HP:0011266,"Microtia, first degree",HP:0008551,844.0,6.0,0.0,Microtia,HP:0008551,0.0,16
HP:0008315,Decreased plasma free carnitine,HP:0003234,23496.0,6.0,0.0,Decreased plasma free carnitine,HP:0003172,0.0,16
HP:0005772,Aplasia/Hypoplasia of the tibia,HP:0006493|HP:0002992,49.0,6.0,2.0,Aplasia/Hypoplasia of the tibia,HP:0005772,1.0,16
HP:0012606,Renal sodium wasting,HP:0012603,14059.0,8.0,0.0,Renal salt wasting,HP:0000126,0.0,16
HP:0006488,Bowing of the arm,HP:0006487|HP:0002817,2045.0,7.0,0.0,Bowing of the long bones,HP:0006487,0.0,16
HP:0011848,Abdominal colic,HP:0002027,38197.0,8.0,0.0,Abdominal pain,HP:0002027,0.0,16
HP:0002593,Intestinal lymphangiectasia,HP:0031842|HP:0002242,1748.0,8.0,2.0,Intestinal lymphangiectasia,HP:0002623,0.0,16
HP:0011224,Ablepharon,HP:0011226,91.0,7.0,2.0,Ablepharon,HP:0000613,0.0,16
HP:0003203,Impaired oxidative burst,HP:0011993,32780.0,8.0,0.0,Abnormality of the oxidative burst,HP:0012599,0.0,16
HP:0025312,Esophoria,HP:0032011|HP:0020045,5816.0,8.0,0.0,Esophoria,HP:0025620,0.0,17
HP:0025420,Diffuse alveolar hemorrhage,HP:0040223,14431.0,12.0,0.0,Diffuse alveolar hemorrhage,HP:0006501,0.0,17
HP:0005988,Congenital muscular torticollis,HP:0011006,676.0,13.0,1.0,Congenital muscular torticollis,HP:0000473,0.0,17
HP:0005157,Concentric hypertrophic cardiomyopathy,HP:0001639,4747.0,9.0,0.0,Concentric left ventricular hypertrophy,HP:0005151,0.0,17
HP:0012174,Glioblastoma multiforme,HP:0009733,206231.0,12.0,0.0,Glioblastoma,HP:0009735,0.0,17
HP:0031491,Continuous spike and waves during slow sleep,HP:0025373,3706.0,13.0,0.0,Continuous spike-and-wave during slow-wave sleep,HP:0025283,0.0,17
HP:0006562,Viral hepatitis,HP:0012115,261076.0,9.0,1.0,Viral hepatitis,HP:0006570,0.0,17
HP:0011971,Dermatographic urticaria,HP:0410134,50.0,11.0,0.0,Dermatographic urticaria,HP:0001025,0.0,17
HP:0001139,Choroideremia,HP:0000610,2188.0,12.0,0.0,Choroideremia,HP:0001139,1.0,17
HP:0100817,Renovascular hypertension,HP:0012211|HP:0000822,9894.0,10.0,1.0,Renovascular hypertension,HP:0000840,0.0,17
HP:0000593,Abnormal anterior chamber morphology,HP:0004328,18787.0,17.0,0.0,Abnormal anterior chamber morphology,HP:0004328,0.0,18
HP:0004406,"Spontaneous, recurrent epistaxis",HP:0000421,2463.0,21.0,0.0,Epistaxis,HP:0000421,0.0,18
HP:0006844,Absent patellar reflexes,HP:0002522,2865.0,16.0,0.0,Absent patellar reflex,HP:0003708,0.0,18
HP:0011273,Anisocytosis,HP:0001877,5404.0,24.0,0.0,Anisocytosis,HP:0001899,0.0,18
HP:0002185,Neurofibrillary tangles,HP:0100314,41752.0,22.0,5.0,Neurofibrillary tangles,HP:0002185,1.0,18
HP:0009755,Ankyloblepharon,HP:0000492,565.0,19.0,5.0,Ankyloblepharon,HP:0000653,0.0,18
HP:0007418,Alopecia totalis,HP:0001596,1267.0,20.0,2.0,Alopecia totalis,HP:0007536,0.0,18
HP:0000863,Central diabetes insipidus,HP:0000873,8953.0,21.0,1.0,Central diabetes insipidus,HP:0000873,0.0,18
HP:0003472,Hypocalcemic tetany,HP:0012638|HP:0002901,773.0,14.0,0.0,Tetany,HP:0001281,0.0,18
HP:0000620,Dacryocystitis,HP:0000614,2365.0,15.0,1.0,Dacryocystitis,HP:0030963,0.0,18
HP:0001406,Intrahepatic cholestasis,HP:0031865|HP:0001396,16156.0,33.0,3.0,Intrahepatic cholestasis,HP:0001406,1.0,19
HP:0001187,Hyperextensibility of the finger joints,HP:0006094,370.0,29.0,3.0,Joint hypermobility,HP:0001382,0.0,19
HP:0000559,Corneal scarring,HP:0100699|HP:0007957,28752.0,25.0,2.0,Corneal scar,HP:0100692,0.0,19
HP:0008368,Tarsal synostosis,HP:0100266|HP:0009140|HP:0001850,788.0,47.0,2.0,Tarsal coalition,HP:0008368,1.0,19
HP:0000105,Enlarged kidney,HP:0012210,77413.0,54.0,6.0,Renal enlargement,HP:0000105,1.0,19
HP:0011842,Abnormal skeletal morphology,HP:0000924,72842.0,24.0,2.0,Abnormal skeletal morphology,HP:0011842,1.0,19
HP:0030048,Colpocephaly,HP:0030047,537.0,32.0,0.0,Colpocephaly,HP:0012444,0.0,19
HP:0012229,CSF pleocytosis,HP:0002921,63633.0,28.0,0.0,Increased cerebrospinal fluid cell count,HP:0002927,0.0,19
HP:0040186,Maculopapular exanthema,HP:4000054,1921.0,25.0,0.0,Maculopapular rash,HP:0000972,0.0,19
HP:0001362,Calvarial skull defect,HP:0002683,4036.0,26.0,2.0,Calvarial defect,HP:0002679,0.0,19
HP:0003388,Easy fatigability,HP:0012638|HP:0004302,3370.0,75.0,1.0,Fatigability,HP:0003388,1.0,20
HP:0003829,Typified by incomplete penetrance,HP:0034335,165.0,160.0,1.0,no appropriate match,HP:0000000,0.0,20
HP:0002607,Bowel incontinence,HP:0031064|HP:0012700,29037.0,58.0,0.0,Fecal incontinence,HP:0002039,0.0,20
HP:0002126,Polymicrogyria,HP:0002536,4149.0,153.0,9.0,Polymicrogyria,HP:0002126,1.0,20
HP:0001347,Hyperreflexia,HP:0031826,68894.0,672.0,0.0,Hyperreflexia,HP:0001349,0.0,20
HP:0001252,Hypotonia,HP:0003808,31411.0,1753.0,77.0,Hypotonia,HP:0001252,1.0,20
HP:0000678,Dental crowding,HP:0000692,21352.0,156.0,6.0,Dental crowding,HP:0000678,1.0,20
HP:0002415,Leukodystrophy,HP:0011400,8977.0,81.0,2.0,Leukodystrophy,HP:0002415,1.0,20
HP:0002344,Progressive neurologic deterioration,HP:0001268,17303.0,58.0,0.0,Progressive neurological deterioration,HP:0002342,0.0,20
HP:0000027,Azoospermia,HP:0008669,12358.0,75.0,8.0,Azoospermia,HP:0000027,1.0,20
