GO_ID,Count,GO_TERM,Aspect,go_id_pmc,go_term_pmc,Rank,Bin,predicted_go_id,pmatch,processing_time
GO:0031462,64,Cul2-RING ubiquitin ligase complex,cellular_component,1,2,231,3,GO:0019005,0,0.2
GO:0045177,79,apical part of cell,cellular_component,88,394,195,3,GO:0045176,0,0.3
GO:0016592,69,mediator complex,cellular_component,17,8391,219,3,GO:0030536,0,0.19
GO:0000813,69,ESCRT I complex,cellular_component,4,765,216,3,GO:0038060,0,0.26
GO:0000307,60,cyclin-dependent protein kinase holoenzyme complex,cellular_component,43,215,245,3,GO:0004672,0,0.27
GO:0005879,76,axonemal microtubule,cellular_component,3,409,204,3,GO:0032154,0,0.23
GO:0071944,61,cell periphery,cellular_component,226,21392,238,3,GO:0005911,0,0.36
GO:0097381,67,photoreceptor disc membrane,cellular_component,0,130,223,3,GO:0033083,0,0.27
GO:0042645,59,mitochondrial nucleoid,cellular_component,10,1007,247,3,GO:0000139,0,0.48
GO:0035102,36,PRC1 complex,cellular_component,6,1889,350,4,GO:0032380,0,0.23
GO:0000407,47,phagophore assembly site,cellular_component,14,998,281,4,GO:0015023,0,0.27
GO:0008250,46,oligosaccharyltransferase complex,cellular_component,7,895,282,4,GO:0042626,0,0.29
GO:0000794,46,condensed nuclear chromosome,cellular_component,24,143,284,4,GO:0000784,0,0.19
GO:0005791,35,rough endoplasmic reticulum,cellular_component,16,16745,359,4,GO:0005794,0,0.19
GO:0034464,38,BBSome,cellular_component,5,1660,327,4,GO:0032708,0,0.24
GO:0030016,39,myofibril,cellular_component,92,10697,321,4,GO:0030014,0,0.31
GO:0032281,38,AMPA glutamate receptor complex,cellular_component,10,9,328,4,GO:0008228,0,0.28
GO:0030014,38,CCR4-NOT complex,cellular_component,7,2209,324,4,GO:0032774,0,0.41
GO:0072546,39,EMC complex,cellular_component,4,97,322,4,GO:0032090,0,0.37
GO:0017119,30,Golgi transport complex,cellular_component,7,150,396,5,GO:0006888,0,0.51
GO:0030126,30,COPI vesicle coat,cellular_component,14,277,397,5,GO:0030138,0,0.34
GO:0070578,30,RISC-loading complex,cellular_component,3,640,405,5,GO:0015734,0,0.21
GO:0000333,25,telomerase catalytic core complex,cellular_component,1,4,450,5,GO:0030287,0,0.28
GO:0005761,27,mitochondrial ribosome,cellular_component,34,3534,429,5,GO:0003735,0,0.46
GO:0032839,27,dendrite cytoplasm,cellular_component,6,5,430,5,GO:0049233,0,0.32
GO:0045259,31,proton-transporting ATP synthase complex,cellular_component,23,309,393,5,GO:0015977,0,0.48
GO:0030122,26,AP-2 adaptor complex,cellular_component,5,581,440,5,GO:0000162,0,0.44
GO:0005892,30,acetylcholine-gated channel complex,cellular_component,15,2,402,5,GO:0005262,0,0.29
GO:0005955,29,calcineurin complex,cellular_component,4,149,407,5,GO:0030869,0,0.26
GO:0016528,19,sarcoplasm,cellular_component,18,3657,526,6,GO:0032887,0,0.32
GO:0001527,23,microfibril,cellular_component,10,6701,462,6,GO:0042302,0,0.2
GO:0033588,19,elongator holoenzyme complex,cellular_component,3,4,530,6,GO:0030175,0,0.24
GO:0099078,22,BORC complex,cellular_component,0,95,484,6,GO:0032267,0,0.29
GO:0098574,19,cytoplasmic side of lysosomal membrane,cellular_component,0,0,519,6,GO:0030669,0,0.46
GO:1902554,21,serine/threonine protein kinase complex,cellular_component,21,204,493,6,GO:0016301,0,0.2
GO:0034709,19,methylosome,cellular_component,7,629,529,6,GO:0034470,0,0.35
GO:0031092,18,platelet alpha granule membrane,cellular_component,11,341,543,6,GO:0030240,0,0.35
GO:0042721,18,TIM22 mitochondrial import inner membrane insertion complex,cellular_component,1,0,544,6,GO:0070975,0,0.21
GO:0031143,18,pseudopodium,cellular_component,5,1010,537,6,GO:0030143,0,0.3
GO:1990072,14,TRAPPIII protein complex,cellular_component,1,0,629,7,GO:0008592,0,0.19
GO:0000812,16,Swr1 complex,cellular_component,7,781,582,7,GO:0032887,0,0.2
GO:1990391,14,DNA repair complex,cellular_component,12,1890,627,7,GO:0090307,0,0.29
GO:0140288,14,GBAF complex,cellular_component,0,12,631,7,GO:0032536,0,0.52
GO:0042589,17,zymogen granule membrane,cellular_component,3,356,557,7,GO:0033081,0,0.34
GO:0031415,17,NatA complex,cellular_component,0,240,550,7,GO:0006457,0,0.19
GO:0097440,16,apical dendrite,cellular_component,4,5167,577,7,GO:0043203,0,0.39
GO:0016586,16,RSC-type complex,cellular_component,1,0,598,7,GO:0032463,0,0.32
GO:1990316,17,Atg1/ULK1 kinase complex,cellular_component,3,0,554,7,GO:1990238,0,0.32
GO:0008385,16,IkappaB kinase complex,cellular_component,2,4305,590,7,GO:0038106,0,0.42
GO:0005584,12,collagen type I trimer,cellular_component,16,38,707,8,GO:0005259,0,0.33
GO:0071006,13,U2-type catalytic step 1 spliceosome,cellular_component,5,0,674,8,GO:0000398,0,0.55
GO:1904930,13,amphisome membrane,cellular_component,1,0,676,8,GO:0031909,0,0.31
GO:0000930,14,gamma-tubulin complex,cellular_component,0,1039,644,8,GO:0000786,0,0.37
GO:0032021,12,NELF complex,cellular_component,3,327,685,8,GO:0035869,0,0.25
GO:0097169,13,AIM2 inflammasome complex,cellular_component,1,74,679,8,GO:0035767,0,0.19
GO:0160112,13,axonemal B tubule inner sheath,cellular_component,0,0,668,8,GO:0033016,0,0.32
GO:0044194,14,cytolytic granule,cellular_component,5,883,651,8,GO:0031438,0,0.27
GO:0031436,12,BRCA1-BARD1 complex,cellular_component,2,518,697,8,GO:0036091,0,0.27
GO:0097550,13,transcription preinitiation complex,cellular_component,0,954,673,8,GO:0000126,0,0.24
GO:0042641,11,actomyosin,cellular_component,17,29817,747,9,GO:0015629,0,0.3
GO:0005915,10,zonula adherens,cellular_component,6,2162,779,9,GO:0030019,0,0.27
GO:1990229,11,iron-sulfur cluster assembly complex,cellular_component,3,117,762,9,GO:0008276,0,0.33
GO:0008352,10,katanin complex,cellular_component,0,61,802,9,GO:0030890,0,0.24
GO:0030061,9,mitochondrial crista,cellular_component,0,692,817,9,GO:0005743,0,0.27
GO:0120103,10,centriolar subdistal appendage,cellular_component,2,1,810,9,GO:0035869,0,0.27
GO:0030119,10,AP-type membrane coat adaptor complex,cellular_component,10,0,811,9,GO:0030127,0,0.27
GO:0033565,10,ESCRT-0 complex,cellular_component,2,539,778,9,GO:0038061,0,0.32
GO:0008541,10,"proteasome regulatory particle, lid subcomplex",cellular_component,4,0,784,9,GO:00316234,0,0.28
GO:0034363,11,intermediate-density lipoprotein particle,cellular_component,5,36,749,9,GO:0034363,1,0.19
GO:0097450,8,astrocyte end-foot,cellular_component,3,51,893,10,GO:0044430,0,0.37
GO:0000811,9,GINS complex,cellular_component,1,1066,852,10,GO:0032549,0,0.28
GO:0072357,8,PTW/PP1 phosphatase complex,cellular_component,7,0,888,10,GO:0017076,0,0.22
GO:0005740,9,mitochondrial envelope,cellular_component,88,585,829,10,GO:0005740,1,0.27
GO:0098666,9,G protein-coupled serotonin receptor complex,cellular_component,0,0,831,10,GO:0032263,0,0.31
GO:0034751,8,aryl hydrocarbon receptor complex,cellular_component,1,819,895,10,GO:0046966,0,0.23
GO:0090571,9,RNA polymerase II transcription repressor complex,cellular_component,2,0,847,10,GO:0030529,0,0.28
GO:0001940,9,male pronucleus,cellular_component,0,2001,823,10,GO:0008584,0,0.27
GO:0071141,9,SMAD protein complex,cellular_component,4,156,838,10,GO:0031974,0,0.31
GO:0060201,9,clathrin-sculpted acetylcholine transport vesicle membrane,cellular_component,1,0,850,10,GO:0030669,0,0.44
GO:0005954,6,calcium- and calmodulin-dependent protein kinase complex,cellular_component,6,8,993,11,GO:0004674,0,0.27
GO:0044354,7,macropinosome,cellular_component,1,1232,953,11,GO:0031909,0,0.23
GO:0071598,7,neuronal ribonucleoprotein granule,cellular_component,1,5,936,11,GO:0030529,0,0.25
GO:1990696,7,USH2 complex,cellular_component,0,57,955,11,GO:00328680,0,0.32
GO:1990604,7,IRE1-TRAF2-ASK1 complex,cellular_component,0,40,954,11,GO:00316233,0,0.33
GO:0098890,7,extrinsic component of postsynaptic membrane,cellular_component,0,0,924,11,GO:0098796,0,0.36
GO:0070985,7,transcription factor TFIIK complex,cellular_component,2,0,933,11,GO:0005667,0,0.49
GO:0099617,7,matrix side of mitochondrial inner membrane,cellular_component,0,0,923,11,GO:0005743,0,0.31
GO:0034388,6,Pwp2p-containing subcomplex of 90S preribosome,cellular_component,3,0,992,11,GO:0032172,0,0.3
GO:0005622,6,intracellular anatomical structure,cellular_component,479,194,995,11,GO:0044424,0,0.34
GO:0140552,6,TEAD-YAP complex,cellular_component,1,825,1046,12,GO:0038066,0,0.27
GO:0071817,6,MMXD complex,cellular_component,0,3,1011,12,GO:0032541,0,0.19
GO:1990617,6,CHOP-ATF4 complex,cellular_component,0,0,1027,12,GO:0034976,0,0.28
GO:0048476,6,Holliday junction resolvase complex,cellular_component,1,17,1035,12,GO:0000166,0,0.24
GO:0030526,5,granulocyte macrophage colony-stimulating factor receptor complex,cellular_component,0,23,1088,12,GO:0030705,0,0.21
GO:0043293,6,apoptosome,cellular_component,0,10821,1008,12,GO:0006918,0,0.2
GO:0017071,6,intracellular cyclic nucleotide activated cation channel complex,cellular_component,1,4,1034,12,GO:0005261,0,0.44
GO:0031213,5,RSF complex,cellular_component,0,122,1082,12,GO:0032557,0,0.25
GO:0031422,6,RecQ family helicase-topoisomerase III complex,cellular_component,0,0,1029,12,GO:0034976,0,0.24
GO:0098635,6,protein complex involved in cell-cell adhesion,cellular_component,0,0,1049,12,GO:0034613,0,0.41
GO:0099147,5,extrinsic component of postsynaptic density membrane,cellular_component,0,0,1125,13,GO:0098796,0,0.22
GO:0090733,4,tenascin complex,cellular_component,0,0,1160,13,GO:0042332,0,0.22
GO:0048788,5,cytoskeleton of presynaptic active zone,cellular_component,4,0,1113,13,GO:0048477,0,0.24
GO:0016013,4,syntrophin complex,cellular_component,1,30,1162,13,GO:0030016,0,0.39
GO:0033165,5,interphotoreceptor matrix,cellular_component,1,1154,1142,13,GO:0042803,0,0.2
GO:0097470,5,ribbon synapse,cellular_component,2,2856,1128,13,GO:0043209,0,0.3
GO:0043259,5,laminin-10 complex,cellular_component,1,0,1106,13,GO:0005844,0,0.31
GO:0034518,4,RNA cap binding complex,cellular_component,1,39,1163,13,GO:0000212,0,0.23
GO:0099512,5,supramolecular fiber,cellular_component,37,487,1094,13,GO:0044422,0,0.3
GO:0099738,4,cell cortex region,cellular_component,5,7,1174,13,GO:0048477,0,0.26
GO:0097268,4,cytoophidium,cellular_component,0,156,1258,14,GO:0044453,0,0.22
GO:0097444,4,spine apparatus,cellular_component,1,785,1196,14,GO:0042475,0,0.26
GO:0072588,4,box H/ACA RNP complex,cellular_component,2,0,1223,14,GO:00344791,0,0.27
GO:0035632,4,mitochondrial prohibitin complex,cellular_component,0,127,1257,14,GO:0005743,0,0.25
GO:0098888,4,extrinsic component of presynaptic membrane,cellular_component,0,0,1211,14,GO:0098796,0,0.22
GO:0032116,4,SMC loading complex,cellular_component,0,2,1259,14,GO:0032548,0,0.31
GO:0097233,4,alveolar lamellar body membrane,cellular_component,1,0,1201,14,GO:0033089,0,0.3
GO:0016513,4,core-binding factor complex,cellular_component,0,32,1248,14,GO:0005667,0,0.34
GO:0035363,4,histone locus body,cellular_component,1,355,1200,14,GO:0035230,0,0.32
GO:0005927,4,muscle tendon junction,cellular_component,1,860,1192,14,GO:0048008,0,0.22
GO:0097135,3,cyclin E2-CDK2 complex,cellular_component,1,2,1326,15,GO:0008270,0,0.19
GO:0097129,3,cyclin D2-CDK4 complex,cellular_component,0,37,1359,15,GO:0038063,0,0.28
GO:0034456,3,UTP-C complex,cellular_component,0,6,1362,15,GO:0032549,0,0.22
GO:0036195,3,muscle cell projection membrane,cellular_component,0,0,1336,15,GO:0042995,0,0.22
GO:0120338,3,radial spoke head 3,cellular_component,0,1,1353,15,GO:0032455,0,0.26
GO:0042022,3,interleukin-12 receptor complex,cellular_component,0,169,1305,15,GO:0032482,0,0.18
GO:0072563,3,endothelial microparticle,cellular_component,0,990,1300,15,GO:0070088,0,0.34
GO:1990682,3,CSF1-CSF1R complex,cellular_component,0,4,1355,15,GO:0031618,0,0.19
GO:0036409,3,histone H3-K14 acetyltransferase complex,cellular_component,0,0,1339,15,GO:0034962,0,0.25
GO:0031523,3,Myb complex,cellular_component,1,118,1291,15,GO:0038023,0,0.22
GO:0005608,3,laminin-3 complex,cellular_component,3,0,1378,16,GO:0005610,0,0.22
GO:0034360,2,chylomicron remnant,cellular_component,0,961,1427,16,GO:0030168,0,0.28
GO:0160074,2,non-canonical inflammasome complex,cellular_component,0,2,1452,16,GO:0031974,0,0.3
GO:0097128,2,cyclin D1-CDK4 complex,cellular_component,0,617,1431,16,GO:0004672,0,0.19
GO:0005583,2,fibrillar collagen trimer,cellular_component,42,127,1421,16,GO:0005581,0,0.28
GO:0070274,2,RES complex,cellular_component,0,130,1441,16,GO:0030163,0,0.18
GO:0036501,2,UFD1-NPL4 complex,cellular_component,0,95,1444,16,GO:0031333,0,0.34
GO:0035985,3,senescence-associated heterochromatin focus,cellular_component,2,1,1384,16,GO:0043483,0,0.17
GO:1904974,2,heparanase complex,cellular_component,0,3,1449,16,GO:0030216,0,0.2
GO:0097179,2,protease inhibitor complex,cellular_component,0,533,1432,16,GO:0008233,0,0.3
GO:1990724,2,galectin complex,cellular_component,1,3,1533,17,GO:0048043,0,0.4
GO:0043512,2,inhibin A complex,cellular_component,0,0,1513,17,GO:0032570,0,0.25
GO:0160110,2,axonemal microtubule doublet inner sheath,cellular_component,0,0,1485,17,GO:0032154,0,0.34
GO:0042709,2,succinate-CoA ligase complex,cellular_component,1,7,1539,17,GO:0042803,0,0.42
GO:1902937,2,inward rectifier potassium channel complex,cellular_component,0,0,1473,17,GO:0005216,0,0.36
GO:0035859,2,Seh1-associated complex,cellular_component,1,7,1538,17,GO:0032541,0,0.25
GO:1990030,2,pericellular basket,cellular_component,1,48,1541,17,GO:0044430,0,0.28
GO:0010370,2,perinucleolar chromocenter,cellular_component,1,1,1525,17,GO:0034622,0,0.37
GO:0150058,2,amylin receptor complex 3,cellular_component,0,0,1476,17,GO:1990445,0,0.28
GO:0005848,2,mRNA cleavage stimulating factor complex,cellular_component,0,1,1471,17,GO:0035025,0,0.21
GO:1990184,2,amino acid transport complex,cellular_component,2,2,1555,18,GO:0015849,0,0.27
GO:0033291,1,eukaryotic 80S initiation complex,cellular_component,0,0,1591,18,GO:0000120,0,0.24
GO:0061742,1,chaperone-mediated autophagy translocation complex,cellular_component,0,0,1630,18,GO:0072510,0,0.29
GO:0036053,1,glomerular endothelium fenestra,cellular_component,0,0,1638,18,GO:0032301,0,0.22
GO:0031205,1,endoplasmic reticulum Sec complex,cellular_component,0,0,1597,18,GO:0005791,0,0.26
GO:0005599,1,collagen type X trimer,cellular_component,0,0,1608,18,GO:0005258,0,0.37
GO:0071261,1,Ssh1 translocon complex,cellular_component,0,1,1599,18,GO:0030010,0,0.19
GO:1990150,1,VEGF-A complex,cellular_component,0,0,1632,18,GO:0030073,0,0.18
GO:0120003,1,hinge region between urothelial plaques of apical plasma membrane,cellular_component,0,0,1635,18,GO:0098796,0,0.36
GO:0035693,1,NOS2-CD74 complex,cellular_component,0,0,1618,18,GO:0032261,0,0.18
GO:0005898,1,interleukin-13 receptor complex,cellular_component,0,27,1676,19,GO:0032610,0,0.26
GO:0097140,1,BIM-BCL-xl complex,cellular_component,0,3,1681,19,GO:0030890,0,0.33
GO:0090636,1,outer dense plaque of desmosome,cellular_component,1,0,1719,19,GO:0030019,0,0.3
GO:1990231,1,STING complex,cellular_component,0,120,1659,19,GO:0030887,0,0.25
GO:1990435,1,upper tip-link density,cellular_component,0,135,1675,19,GO:0032154,0,0.26
GO:0005895,1,interleukin-5 receptor complex,cellular_component,0,1,1693,19,GO:0032489,0,0.28
GO:0000112,1,nucleotide-excision repair factor 3 complex,cellular_component,0,2,1692,19,GO:0003684,0,0.28
GO:0044299,1,C-fiber,cellular_component,1,10221,1639,19,GO:0014033,0,0.24
GO:0005582,1,collagen type XV trimer,cellular_component,1,0,1723,19,GO:0005584,0,0.25
GO:0120220,1,basal body patch,cellular_component,0,10,1698,19,GO:0032154,0,0.47
GO:0070176,1,DRM complex,cellular_component,2,16,1743,20,GO:0032549,0,0.31
GO:0120234,1,stereocilium coat,cellular_component,0,0,1804,20,GO:0031253,0,0.22
GO:0097541,1,axonemal basal plate,cellular_component,1,1,1775,20,GO:0032154,0,0.39
GO:0005880,1,nuclear microtubule,cellular_component,2,181,1738,20,GO:0048477,0,0.31
GO:0097462,1,Lewy neurite,cellular_component,1,697,1755,20,GO:0097393,0,0.58
GO:0098541,1,cytoplasmic side of trans-Golgi network transport vesicle membrane,cellular_component,0,0,1788,20,GO:0016023,0,0.37
GO:0002189,1,ribose phosphate diphosphokinase complex,cellular_component,0,0,1781,20,GO:0032547,0,0.22
GO:0008303,1,caspase complex,cellular_component,3,63,1827,20,GO:0006915,0,0.33
GO:0000417,1,HIR complex,cellular_component,3,213,1826,20,GO:0032549,0,0.33
GO:0031592,1,centrosomal corona,cellular_component,2,14,1744,20,GO:0098796,0,0.29
GO:0045600,60,positive regulation of fat cell differentiation,biological_process,,,517,1,GO:0045595,0,0.19
GO:0043524,168,negative regulation of neuron apoptotic process,biological_process,,,122,1,GO:0043525,0,0.24
GO:0033209,84,tumor necrosis factor-mediated signaling pathway,biological_process,,,315,1,GO:0060256,0,0.25
GO:0008544,83,epidermis development,biological_process,,,320,1,GO:0048666,0,0.28
GO:0006298,60,mismatch repair,biological_process,,,516,1,GO:0000638,0,0.3
GO:0009952,93,anterior/posterior pattern specification,biological_process,,,277,1,GO:0009952,1,0.24
GO:0031640,293,killing of cells of another organism,biological_process,,,54,1,GO:0016021,0,0.18
GO:0007264,97,small GTPase-mediated signal transduction,biological_process,,,260,1,GO:0007264,1,0.18
GO:0006886,275,intracellular protein transport,biological_process,,,57,1,GO:0006888,0,0.39
GO:0042981,226,regulation of apoptotic process,biological_process,,,79,1,GO:0048519,0,0.23
GO:0031663,41,lipopolysaccharide-mediated signaling pathway,biological_process,,,828,2,GO:0032669,0,0.22
GO:0051384,49,response to glucocorticoid,biological_process,,,656,2,GO:0051333,0,0.17
GO:0048870,45,cell motility,biological_process,,,734,2,GO:0007229,0,0.17
GO:0070102,40,interleukin-6-mediated signaling pathway,biological_process,,,837,2,GO:0060256,0,0.17
GO:0001657,38,ureteric bud development,biological_process,,,900,2,GO:0001822,0,0.26
GO:0009409,33,response to cold,biological_process,,,1077,2,GO:0009266,0,0.26
GO:0048839,46,inner ear development,biological_process,,,714,2,GO:0060548,0,0.27
GO:0031116,35,positive regulation of microtubule polymerization,biological_process,,,992,2,GO:0032548,0,0.33
GO:2001238,50,positive regulation of extrinsic apoptotic signaling pathway,biological_process,,,642,2,GO:0097192,0,0.18
GO:0075523,34,viral translational frameshifting,biological_process,,,1035,2,GO:0040020,0,0.22
GO:0019229,21,regulation of vasoconstriction,biological_process,,,1736,3,GO:0009266,0,0.33
GO:0070213,22,protein auto-ADP-ribosylation,biological_process,,,1630,3,GO:0010181,0,0.27
GO:0006607,27,NLS-bearing protein import into nucleus,biological_process,,,1327,3,GO:0006606,0,0.41
GO:0016486,24,peptide hormone processing,biological_process,,,1495,3,GO:0072578,0,0.33
GO:0000375,25,"RNA splicing, via transesterification reactions",biological_process,,,1467,3,GO:0006376,0,0.31
GO:0044546,21,NLRP3 inflammasome complex assembly,biological_process,,,1696,3,GO:0070264,0,0.31
GO:0036092,26,phosphatidylinositol-3-phosphate biosynthetic process,biological_process,,,1378,3,GO:0046483,0,0.19
GO:0035338,22,long-chain fatty-acyl-CoA biosynthetic process,biological_process,,,1653,3,GO:0052650,0,0.27
GO:0070327,23,thyroid hormone transport,biological_process,,,1567,3,GO:0015849,0,0.33
GO:0021772,21,olfactory bulb development,biological_process,,,1731,3,GO:0021536,0,0.33
GO:0050848,16,regulation of calcium-mediated signaling,biological_process,,,2239,4,GO:0010629,0,0.19
GO:0015755,19,fructose transmembrane transport,biological_process,,,1901,4,GO:0015075,0,0.42
GO:0019370,19,leukotriene biosynthetic process,biological_process,,,1914,4,GO:0042445,0,0.24
GO:0098712,18,L-glutamate import across plasma membrane,biological_process,,,1929,4,GO:0006833,0,0.3
GO:0006665,17,sphingolipid metabolic process,biological_process,,,2183,4,GO:0006684,0,0.2
GO:0086004,16,regulation of cardiac muscle cell contraction,biological_process,,,2231,4,GO:0051743,0,0.25
GO:0010887,16,negative regulation of cholesterol storage,biological_process,,,2194,4,GO:0010884,0,0.31
GO:0048388,16,endosomal lumen acidification,biological_process,,,2216,4,GO:0046686,0,0.17
GO:0086009,16,membrane repolarization,biological_process,,,2247,4,GO:0032870,0,0.28
GO:0072520,16,seminiferous tubule development,biological_process,,,2190,4,GO:0030325,0,0.25
GO:0008090,13,retrograde axonal transport,biological_process,,,2707,5,GO:0010822,0,0.2
GO:0034975,13,protein folding in endoplasmic reticulum,biological_process,,,2706,5,GO:0006626,0,0.22
GO:0046621,12,negative regulation of organ growth,biological_process,,,2793,5,GO:0040014,0,0.17
GO:0019852,14,L-ascorbic acid metabolic process,biological_process,,,2525,5,GO:0006807,0,0.44
GO:0046037,12,GMP metabolic process,biological_process,,,2903,5,GO:0009110,0,0.25
GO:2001214,12,positive regulation of vasculogenesis,biological_process,,,2953,5,GO:0048592,0,0.66
GO:1990108,13,protein linear deubiquitination,biological_process,,,2664,5,GO:0097254,0,0.22
GO:0099159,11,regulation of modification of postsynaptic structure,biological_process,,,3058,5,GO:0048706,0,0.5
GO:2000049,13,positive regulation of cell-cell adhesion mediated by cadherin,biological_process,,,2762,5,GO:1901024,0,0.27
GO:0032026,13,response to magnesium ion,biological_process,,,2745,5,GO:0051574,0,0.2
GO:0051451,9,myoblast migration,biological_process,,,3622,6,GO:0030316,0,0.3
GO:1903829,11,positive regulation of protein localization,biological_process,,,3128,6,GO:0045181,0,0.31
GO:0000301,10,"retrograde transport, vesicle recycling within Golgi",biological_process,,,3279,6,GO:0006888,0,0.28
GO:0060296,10,regulation of cilium beat frequency involved in ciliary motility,biological_process,,,3296,6,GO:0060081,0,0.33
GO:0008535,9,respiratory chain complex IV assembly,biological_process,,,3539,6,GO:0042779,0,0.42
GO:1902270,10,(R)-carnitine transmembrane transport,biological_process,,,3352,6,GO:0015849,0,0.3
GO:0045839,9,negative regulation of mitotic nuclear division,biological_process,,,3653,6,GO:0051726,0,0.19
GO:0061518,9,microglial cell proliferation,biological_process,,,3514,6,GO:0048468,0,0.24
GO:2000052,9,positive regulation of non-canonical Wnt signaling pathway,biological_process,,,3559,6,GO:0060738,0,0.22
GO:0021516,9,dorsal spinal cord development,biological_process,,,3665,6,GO:0021512,0,0.33
GO:0035340,9,inosine transport,biological_process,,,3742,7,GO:0015849,0,0.2
GO:0043267,8,negative regulation of potassium ion transport,biological_process,,,3984,7,GO:0051924,0,0.48
GO:0010706,8,ganglioside biosynthetic process via lactosylceramide,biological_process,,,4084,7,GO:0046528,0,0.17
GO:2000020,8,positive regulation of male gonad development,biological_process,,,3944,7,GO:0048858,0,0.19
GO:2000177,9,regulation of neural precursor cell proliferation,biological_process,,,3775,7,GO:0048701,0,0.16
GO:0071287,9,cellular response to manganese ion,biological_process,,,3716,7,GO:0046686,0,0.22
GO:0071076,8,RNA 3' uridylation,biological_process,,,3893,7,GO:0032250,0,0.17
GO:0061180,8,mammary gland epithelium development,biological_process,,,4072,7,GO:0030878,0,0.18
GO:0050428,9,3'-phosphoadenosine 5'-phosphosulfate biosynthetic process,biological_process,,,3748,7,GO:0009058,0,0.28
GO:0070234,8,positive regulation of T cell apoptotic process,biological_process,,,3993,7,GO:0043065,0,0.28
GO:0006650,6,glycerophospholipid metabolic process,biological_process,,,4877,8,GO:0019438,0,0.34
GO:0032025,6,response to cobalt ion,biological_process,,,4573,8,GO:0046981,0,0.36
GO:0048755,6,branching morphogenesis of a nerve,biological_process,,,4599,8,GO:0048666,0,0.19
GO:0051608,7,histamine transport,biological_process,,,4355,8,GO:0015790,0,0.28
GO:0141137,6,"positive regulation of gene expression, epigenetic",biological_process,,,4637,8,GO:0030574,0,0.21
GO:0050851,6,antigen receptor-mediated signaling pathway,biological_process,,,4595,8,GO:0050851,1,0.28
GO:0071731,6,response to nitric oxide,biological_process,,,4555,8,GO:0000304,0,0.2
GO:0006172,7,ADP biosynthetic process,biological_process,,,4404,8,GO:0006160,0,0.33
GO:0000957,6,mitochondrial RNA catabolic process,biological_process,,,4775,8,GO:0003730,0,0.3
GO:1903691,6,"positive regulation of wound healing, spreading of epidermal cells",biological_process,,,4594,8,GO:0048648,0,0.26
GO:0002724,5,regulation of T cell cytokine production,biological_process,,,5066,9,GO:0051099,0,0.41
GO:1901984,5,negative regulation of protein acetylation,biological_process,,,5293,9,GO:0061363,0,0.31
GO:0032946,5,positive regulation of mononuclear cell proliferation,biological_process,,,5149,9,GO:0032943,0,0.25
GO:0006554,5,lysine catabolic process,biological_process,,,5486,9,GO:0043498,0,0.28
GO:1901911,5,adenosine 5'-(hexahydrogen pentaphosphate) catabolic process,biological_process,,,5261,9,GO:0043155,0,0.37
GO:0050672,5,negative regulation of lymphocyte proliferation,biological_process,,,5513,9,GO:0051090,0,0.19
GO:0051754,5,"meiotic sister chromatid cohesion, centromeric",biological_process,,,5477,9,GO:0033680,0,0.41
GO:0051900,5,regulation of mitochondrial depolarization,biological_process,,,5315,9,GO:0032835,0,0.21
GO:0045794,5,negative regulation of cell volume,biological_process,,,5359,9,GO:0042327,0,0.19
